Title;Abstract;StoreId;ArticleType;AuthorAffiliation;Authors;coden;companies;copyright;digitalObjectIdentifier;documentType;elecPubDate;entryDate;isbn;issn;issue;language;languageOfSummary;pages;placeOfPublication;pubdate;pubtitle;year;volume;DocumentURL;classification;classificationCodes;documentFeatures;majorClassificationCodes;notes;startPage;subjectClassifications;subjectTerms;subjects;FindACopy;Database
Science, Technology, Engineering, Math (STEM) in Higher Education from the Perspective of Female Students: An Institutional Ethnography;"A persistent disadvantage for females is systemically embedded in Science, Technology, Engineering, and Math (STEM) education in postsecondary institutions. As a result, undergraduate women majoring in STEM fields face a uniquely difficult path; yet, for the most part, recommendations made and supported in the literature have focused on recruitment of women to STEM fields or on ways to make women more successful and comfortable in their STEM major. These recommendations have so far proved to be insufficient to remedy a gender gap and serve to replicate the existing male hierarchy. In order to truly make the STEM classroom one in which women are welcome and comfortable and to challenge the existing social and scientific systems, it is necessary to explore and understand the social and political implications embedded within teaching and learning choices. This institutional ethnography addresses that gap. The purpose of this study was to uncover and describe the institutional practices of STEM education at a Midwest research university (MRU) from the standpoint of female undergraduate students. Using the framework of feminist standpoint theory, this study explored the everyday “work” of female undergraduate STEM students to provide a unique perspective on the STEM education teaching and learning environment. Data collection began with in-depth interviews with female undergraduate math and physics students. As the institutional processes shaping undergraduate participant experiences were identified, subsequent data collection included classroom observations, additional interviews with students and faculty, and analysis of the texts that mediate these processes (e.g., syllabi and student handbooks). Data analysis followed Carspecken’s process of ethnographic data analysis that began with low-level coding, followed by high-level coding, and concluded by pulling codes together through the creation of themes. Analysis of data led to three key findings. First, undergraduate participants reported being challenged by difficult and intimidating aspects of the teaching and learning environment. Second, undergraduate participants reported challenges meeting some of the characteristics of successful math and physics students (e.g., taking risks, asking questions, putting school first) and preferred a collectivistic environment. Third, participants described challenges from conflicting STEM academic expectations and institutional policies, which made it harder for them to meet STEM expectations. Findings indicate that efforts to reduce the “chilly” climate have been unsuccessful, largely because discourses that motivate the chilly climate have not changed. Those discourses are evidence of a masculine STEM institution, which also creates a male ideal that female students are expected to meet, further exacerbating their discomfort in the STEM environment. The masculinized nature of a STEM institution is reinforced by neoliberal policies that emphasize the importance of meeting gendered ideal STEM student characteristics. The result is that while women persist, they face stress, anxiety, and discomfort. Recommendations to improve the chilly climate include: revising the STEM institution from one that is masculine to one that is inclusive of women; and, to create a STEM educational environment that supports, validates, and gives women an equal voice.";1796968903;Dissertations & Theses;;Parson, Laura J.;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-83631-7;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1796968903?accountid=11774; 0280 Mathematics education , 0714 Science education , 0745 Higher education; 0280 Mathematics education , 0714 Science education , 0745 Higher education;; 0280 Mathematics education , 0714 Science education , 0745 Higher education;;; 0280 Mathematics education , 0714 Science education , 0745 Higher education; Mathematics education , Science education , Higher education; Education , Feminist standpoint theory , Higher education , Institutional ethnography , Stem education;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Education+Database&amp;atitle=&amp;title=Science%2C+Technology%2C+Engineering%2C+Math+%28STEM%29+in+Higher+Education+from+the+Perspective+of+Female+Students%3A+An+Institutional+Ethnography&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Parson%2C+Laura+J.&amp;isbn=978-1-339-83631-7&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,Social Science Premium Collection
Culturally responsive computing for American Indian youth: Making activities with electronic textiles in the native studies classroom;By providing access to hands-on activities and the physical and digital tools necessary to complete them, maker activities encourage cross-disciplinary, interest-driven learning and problem solving in schools. However, maker movement efforts to broaden participation into computer science have largely ignored Indigenous populations. In this dissertation, I examine how electronic textiles (e-textiles) materials connects to the heritage craft practices found in many Indigenous communities. By design, e-textiles materials combine low-tech craft practices like sewing with high-tech engineering and programming. Framing learning computing within these two distinct but overlapping cultural contexts provides youth will a familiar context in which to learn something new (programming), promotes positive identity development, and fosters connections across multiple dimensions of youth’s lives. At the core of this work is design-based research into the development and implementation of a three-week electronic textiles unit in gender-segregated Native Studies class with American Indian youth (12-14 years old) at a charter school located on tribal lands in the Southwest. This unit was implemented four times over the course of the school year. Findings highlight how different groups of students (American Indian girls and American Indian boys) engaged with e-textiles activities and how their perspectives on computing developed through participation in the unit. In addition, the teacher’s perspective on integrating digital technologies in the Native Studies classroom is explored within the context of contemporary Federal Indian educational policy and practice. This work makes three significant contributions to ethnography, computing education, and American Indian education. First, it proposes a new methodology through the integration of ethnography with design-based research and critical Indigenous research approaches. Second, it contributes to the emerging field of culturally responsive computing by exploring what happens when computing moves beyond the screen and into the tangible realm. Third, it furthers our understandings of the role of digital technologies in American Indian education, with a particular focus on how making activities might contribute to increased educational sovereignty for Indigenous peoples throughout the United States.;1796359054;Dissertations & Theses;;Searle, Kristin A.;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-82733-9;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1796359054?accountid=11774; 0455 Multicultural Education , 0740 Native American studies , 0984 Computer science; 0455 Multicultural Education , 0740 Native American studies , 0984 Computer science;; 0455 Multicultural Education , 0740 Native American studies , 0984 Computer science;;; 0455 Multicultural Education , 0740 Native American studies , 0984 Computer science; Multicultural Education , Native American studies , Computer science; Social sciences , Applied sciences , Education , American indian , Electronic textiles , Making;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Matericals+Science+%26+Engineering+Dissertations&amp;atitle=&amp;title=Culturally+responsive+computing+for+American+Indian+youth%3A+Making+activities+with+electronic+textiles+in+the+native+studies+classroom&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Searle%2C+Kristin+A.&amp;isbn=978-1-339-82733-9&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";SciTech Premium Collection
Making In Education: A Study Of Teachers Decisions To Participate In Professional Development, Their Emerging Understandings Of Making, And Teacher Plans For Implementation;"There is great hope that the implementation of the maker-based education within school-based learning will help bridge the ever-growing gap between formal classroom knowledge and real world problem solving. However, there is little known about the ways in which teachers perceive making in education, as well as what their essential needs are with respect to implementation of maker programming and overall professional development in maker education. Through a qualitative grounded theory research design, this dissertation examines the experiences of K-12 Northern California educators as they engaged in a professional development opportunity in maker education, and subsequently their intention to implement maker-based practices at their school sites. As part of the main research question for this study, there was a focus on discovering the perceived reasons K-12 teachers chose to participate in a maker certificate program. The purpose for this focus was to highlight similarities and inconsistencies behind the motivations, needs, and plans of maker educators. Participant responses centered around three main categories: (A.1) Maker Educator Network; (A.2) Student Engagement in Making; and (A.3) Innate Maker Philosophy. Several subcategories emerged consistently as secondary themes though the analysis of the interviews. Findings highlight the unique role that teachers play as stewards of maker education. Participants in this study expressed a need for leadership training in maker education as they exhibited an entrepreneurial commitment and passion for maker education and advocacy at their school sites and beyond. As the key informants in this investigation, participants revealed important insights into the ways in which professional development opportunities in maker education can support implementation of making in formal education.";1796041252;Dissertations & Theses;;Somerville, Rachel E.;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-82484-0;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1796041252?accountid=11774; 0449 Educational leadership , 0530 Teacher education , 0727 Curriculum development; 0449 Educational leadership , 0530 Teacher education , 0727 Curriculum development;; 0449 Educational leadership , 0530 Teacher education , 0727 Curriculum development;;; 0449 Educational leadership , 0530 Teacher education , 0727 Curriculum development; Educational leadership , Teacher education , Curriculum development; Education , Constructionism , Innovation , Maker education , Maker educators , Maker professional development , Steam;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Education+Database&amp;atitle=Association+Between+Lumbar+Disc+Degeneration+and+Propionibacterium+acnes+Infection%3A+Clinical+Research+and+Preliminary+Exploration+of+Animal+Experiment.&amp;title=Spine&amp;issn=1528-1159&amp;date=2016-07-01&amp;volume=41&amp;issue=13&amp;spage=E764&amp;au=Li%2C+Bo%3BDong%2C+Zhe%3BWu%2C+Yongchao%3BZeng%2C+Ji%3BZheng%2C+Qixin%3BXiao%2C+Baojun%3BCai%2C+Xianyi%3BXiao%2C+Zhiyong&amp;isbn=&amp;jtitle=Spine&amp;btitle=&amp;rft_id=info:eric/26656049&amp;rft_id=info:doi/10.1097%2FBRS.0000000000001383";ProQuest Central,Social Science Premium Collection
Videogames, Informal Teaching, and the Rhetoric of Design;This dissertation is about videogames. It is also about teaching, and the ways videogame design represents good teaching. However, this dissertation is not about videogames alone. It makes broad claims about teaching in- and out-of-schools in the 21 st Century. Over the last few decades many scholars have been impressed by the rich forms of learning going on out-of-school. In particular, the emergence of digital and social media has fueled interest in informal learning while often ignoring or effacing the critical role of teaching. Indeed, the term informal learning is common while the term “informal teaching” barely exists. At the same time, the learning sciences have made progress on understanding how learning works based on empirical evidence of how the mind operates. While this research is not well implemented in many of our schools, it is well represented in much out-of-school learning (such as in videogames). This dissertation argues that there is a body of evidence germane to good teaching, that many learning principles celebrated today in out-of-school learning are actually teaching principles, and that good videogames can give us insights into how teaching can work as a form of design with or without games. The dissertation then develops a model of distributed teaching and learning systems which involve designed- and emergent organization of various teaching and learning “sites”. Finally, the dissertation looks at the rhetorical function of teaching in building a “deliberate learner”, one whose goal is not simply to know and do things, but to become a certain type of person committed to new ways with words, forms of interaction, and values. Rhetoric, teaching, learning, and design of all sorts have been set free from institutions and turned loose into a market place of ideas and sites. In the face of this market place we need to engage in discussions about who we want to be, who we want others to be, and what world we want all of us to live in. These discussions will center not just on “truth”, but on values as well—which is exactly where, in a high-risk imperiled world, they should be centered.;1793941013;Dissertations & Theses;;Holmes, Jeffrey Brandon;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-72334-1;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1793941013?accountid=11774; 0681 Rhetoric , 0710 Educational technology , 0998 Education philosophy; 0681 Rhetoric , 0710 Educational technology , 0998 Education philosophy;; 0681 Rhetoric , 0710 Educational technology , 0998 Education philosophy;;; 0681 Rhetoric , 0710 Educational technology , 0998 Education philosophy; Rhetoric , Educational technology , Education philosophy; Language, literature and linguistics , Education , Design , Informal learning , Rhetoric , Teaching , Technology , Video games;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Education+Database&amp;atitle=&amp;title=Videogames%2C+Informal+Teaching%2C+and+the+Rhetoric+of+Design&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Holmes%2C+Jeffrey+Brandon&amp;isbn=978-1-339-72334-1&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,Social Science Premium Collection
Exploring teachers' practices to develop students' self-regulated learning in U.S. K-12 online schools;Students’ ability to be engaged in self-regulated learning (SRL) has become more important in the emerging information age paradigm of education where learners have more control over their learning process. With growing interest in and popularity of online learning and lifelong learners, SRL is becoming more and more important for learners’ successful learning experience. In addition, online learning in K-12 is the area that is becoming more popular followed by higher education and corporate. Although SRL has known to be a teachable skill, little research has been done on how teachers develop their students’ SRL in online learning environments, and especially online K-12 school contexts. This dissertation aimed at 1) examining how teachers at online K-12 schools in the U.S. perceive the importance of SRL for their students and the importance of teachers’ teaching SRL skills to their online students, 2) examining how frequently teachers are providing supports for their students to develop SRL skills, 3) identifying what types of supports teachers are providing for their students to develop SRL skills, 4) examining how technology is being utilized to support teachers’ practices of developing students’ SRL, and 5) identifying whether teachers need to see more functions from technology in supporting their practices of developing SRL skills of their students. Survey responses of 112 teachers who were teaching at K-12 online schools in the U.S. revealed that they perceived that it was important for their online students to have self-regulated learning skills to be successful in their online learning experience. Moreover, they also perceived that it was very important for the teachers to teach their students SRL skills at K-12 online schools. In general, the teachers indicated they were frequently providing some supports for their students to develop SRL skills through their practices. Follow-up interviews and content analysis results showed the types of supports provided by teachers or institutions for students to develop SRL skills such as direct guidance, prompting, institutional support, and so on. Although there was little direct instruction support, teachers utilized various supports to develop their students’ SRL skills, and implications such as personalization, creating a learning community, and maintaining a balance between teacher-regulated learning and SRL were derived.;1786952500;Dissertations & Theses;;Huh, Yeol;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-66873-4;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1786952500?accountid=11774; 0525 Educational psychology , 0710 Educational technology; 0525 Educational psychology , 0710 Educational technology;; 0525 Educational psychology , 0710 Educational technology;;; 0525 Educational psychology , 0710 Educational technology; Educational psychology , Educational technology; Education , Learning technologies , Online k-12 , Self-regulated learning , Teacher support;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Education+Database&amp;atitle=&amp;title=Exploring+teachers%27+practices+to+develop+students%27+self-regulated+learning+in+U.S.+K-12+online+schools&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Huh%2C+Yeol&amp;isbn=978-1-339-66873-4&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,Social Science Premium Collection
An Analysis of In-house and Offshore-outsourced Software Development Projects Utilizing Waterfall versus Agile Methodologies: A Simulation Study;Software is an integral part of each and every business model, whether it is banking, manufacturing, insurance, hospitality, aviation, education, healthcare, social networking or any other domain. The design and development of any software system can require significant investments in capital, time, domain expertise, tools and infrastructure. Despite improvements in the software industry over the past decades, the percentage of software failures has also increased, which led to loss of capital, time and information. Software development projects continue to fail due to the use of ineffective development and management processes, commonly found in waterfall-like development, that inject faults into various stages of the software development life cycle. Repeated use of a development process that does not produce software that performs as intended can impose serious problems on a software development project. Hence, it is essential that organizations employ a consistent and adaptable process that allows for the creation and delivery of quality software that satisfies customer’s expectations. Such a process offers a framework that could help to plan new projects, avoid repeating the mistakes of past projects, and improve on successful elements. Traditional, sequential development methodologies such as waterfall differ from later adaptive and iterative methods like agile. Many of the practices of traditional methods are not effective in software development projects created today. However, because of their failure to accept this reality, many organizations continue to use software development processes that do not produce desired results. Still, today popular belief is that offshore development is the ‘fix’ for in-house or onshore project problems. This dissertation analyzes in-house and offshore- outsourced software projects utilizing waterfall versus agile development to identify the real determinants of the problems. It concludes with an agile simulation of the problems to show the difference had the projects been done in an agile manner. The study will provide useful insights that can be adopted to institute an effective software development process that produces successful, high quality software that can be used.;1781242041;Dissertations & Theses;;Maxwell-Sinclair, Novelle;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-61995-8;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1781242041?accountid=11774; 0489 Information Technology , 0984 Computer science; 0489 Information Technology , 0984 Computer science;; 0489 Information Technology , 0984 Computer science;;; 0489 Information Technology , 0984 Computer science; Information Technology , Computer science; Applied sciences , Agile , In-house , Offshoring , Software development , Software quality , Waterfall;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Matericals+Science+%26+Engineering+Dissertations&amp;atitle=&amp;title=An+Analysis+of+In-house+and+Offshore-outsourced+Software+Development+Projects+Utilizing+Waterfall+versus+Agile+Methodologies%3A+A+Simulation+Study&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Maxwell-Sinclair%2C+Novelle&amp;isbn=978-1-339-61995-8&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";SciTech Premium Collection
A Study of the Success of Group Formation in Virtual Teams Using Computer-Mediated Communications;In the digital domain, virtual teams within organizations and corporations are becoming common. Restructuring an organization or corporation is vital because competition and globalization are increasing. In this era of globalization, distributed working groups need to develop a competitive advantage in these ever-changing environments. Historically, teams had experienced problems stemming from geographical and temporal limitations. With the increase of technology in telecommunications, organizations are increasingly forming virtual teams, which have become critical to the survival of nearly any corporate entity. Virtual teams have some of the same problems that regular teams have. One of the key challenges is the method of forming teams, while such challenge is exacerbated in digital environments. Despite the difficulties, the digital environment has made successful team development all the more challenging. The variation in people's skills makes the formation of teams even more difficult. This is why organizations cannot determine in advance if a virtual team will be a success. To evaluate the success of team formation in a virtual setting, this research study assessed the role of different computer-mediated communications (CMC) levels employed (no-CMC/face-to-face, online learning system, online learning system + social networking site) on the success of team formation measured by the level of task performance (TP), team cohesiveness (TC), computer skills (CS) and social bond (SB), while assessing the differences on such relationships when controlled for demographic information such as gender, age, education level, academic major, as well as academic year. Empirical data was collected from students at the Medical Sciences Campus in the University of Puerto Rico with 140 usable records. Using three teams and 140 participants, the results indicated that there is a statistically significance difference in the role of CMC levels employed (no-CMC/face-to-face, online learning system, online learning system + social networking site) on the level of perception of CS in team formation. Significant differences were also found in the role of CMC levels employed on the levels of TP, when controlled for gender. In addition, there is a significance difference in the role of CMC levels employed (no-CMC/face-to-face, online learning system, online learning system + social networking site) on the levels of CS, when controlled for education, academic major and academic year. The outcomes of the study contributed to the body of knowledge for both practice and research, to help organizations identify ways to support effective team formations in virtual environments.;1780296412;Dissertations & Theses;;Melon-Melon, Eliel;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-59724-9;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1780296412?accountid=11774; 0464 Computer Engineering , 0489 Information Technology , 0984 Computer science; 0464 Computer Engineering , 0489 Information Technology , 0984 Computer science;; 0464 Computer Engineering , 0489 Information Technology , 0984 Computer science;;; 0464 Computer Engineering , 0489 Information Technology , 0984 Computer science; Computer Engineering , Information Technology , Computer science; Applied sciences , Computer-mediated communications in teams , Social networking sites in teams , Task performance , Team cohesion , Team formation , Virtual teams;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Matericals+Science+%26+Engineering+Dissertations&amp;atitle=&amp;title=A+Study+of+the+Success+of+Group+Formation+in+Virtual+Teams+Using+Computer-Mediated+Communications&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Melon-Melon%2C+Eliel&amp;isbn=978-1-339-59724-9&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";SciTech Premium Collection
An Analysis of Game-Based Learning for the Design of Digital Science Games;As science becomes increasingly data-driven, there is a need to prepare the next generation of youth with the wide variety of skills and tools necessary for future scientific careers. In this dissertation, I address the diverse gameplay capabilities present in youth, arguing that educators and designers can and should leverage these in the design of educational science games. I employ both quantitative and qualitative approaches to examine gameplay within the context of the bioinformatics game, MAX5. Two initial studies are presented showing that a player’s previous experience with a game’s genre and the types of messages shared between players during social gameplay are significant predictors for learning outcomes. A qualitative data analysis then identifies themes of gameplay that are compared and contrasted with existing theories to lay the building blocks for a new complex systems model of game-based learning. Components of this model exist within five interlinked layers: the input, the sensory sphere, the structural dynamics, semiotic translation, and memory-action patterns, all existing within a larger dynamic network of games and players. These research findings provide a means for game designers to broaden the participation of youth in the sciences by matching player capabilities with appropriate game elements and learning content. This research further highlights the need for more adaptive science games that reflect not only players’ varied capabilities, but also the increasingly multidisciplinary and collaborative nature of scientific practice.;1778496974;Dissertations & Theses;;Perry, Daniel;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-58750-9;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1778496974?accountid=11774; 0489 Information Technology , 0710 Educational technology , 0715 Bioinformatics; 0489 Information Technology , 0710 Educational technology , 0715 Bioinformatics;; 0489 Information Technology , 0710 Educational technology , 0715 Bioinformatics;;; 0489 Information Technology , 0710 Educational technology , 0715 Bioinformatics; Information Technology , Educational technology , Bioinformatics; Biological sciences , Applied sciences , Education , Game-based learning , Human-computer interaction , Science education , Video games;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Education+Database&amp;atitle=&amp;title=An+Analysis+of+Game-Based+Learning+for+the+Design+of+Digital+Science+Games&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Perry%2C+Daniel&amp;isbn=978-1-339-58750-9&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Student Perceptions of Flipped Learning in a High School Math Classroom;Flipped classrooms are implemented in more schools each year, particularly in courses requiring increased teacher guidance for mastery. While a foundation of research related to pedagogy and academic outcomes exists, research is limited surrounding student perceptions of the social and learning culture during flipped learning. The purpose of this study was to explore high school math students’ lived experiences of flipped learning related to content and instruction, critical thinking, and collaboration and interactions. A phenomenological design was employed using a conceptual framework combining cognitive load theory, sociocultural learning theory, and schema theory. Students from two public high schools in the Midwest participated. Seven students participated in interviews, and nine students participated in two focus group discussions. Data analysis involved in vivo coding of transcribed interviews and focus groups. Key results included students’ perceptions of increased engagement and interactions, as well as more in-depth learning in flipped environments. Increased critical thinking was related to both instructional strategies employed and students’ ability to self-regulate learning. Concepts of peer collaboration shifted as students viewed learning environments and sources of expertise as more extensive in the flipped environment. This study contributes to positive social change by providing educators and researchers with a deeper understanding of the importance of ensuring students are competent in using social technology tools that encourage students to interact both socially and academically in order to help them become more self-directed learners.;1776469846;Dissertations & Theses;;Strohmyer, Daniel A.;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-56443-2;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1776469846?accountid=11774; 0525 Educational psychology , 0530 Teacher education , 0710 Educational technology; 0525 Educational psychology , 0530 Teacher education , 0710 Educational technology;; 0525 Educational psychology , 0530 Teacher education , 0710 Educational technology;;; 0525 Educational psychology , 0530 Teacher education , 0710 Educational technology; Educational psychology , Teacher education , Educational technology; Education , Critical thinking , Flipped classroom , Flipped learning , Flipped teaching , Inverted teaching , Mathematics;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Education+Database&amp;atitle=&amp;title=Student+Perceptions+of+Flipped+Learning+in+a+High+School+Math+Classroom&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Strohmyer%2C+Daniel+A.&amp;isbn=978-1-339-56443-2&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,Social Science Premium Collection
Exploring the Flipped Classroom in a Community College Setting;"The purpose of this study was to explore the flipped classroom approach in a community college setting and assess its impact on students’ learning experience and performance. Participants in this study were second semester computer programming students (n = 103) at a mid-sized community college of applied arts and technology. This study used a convergent parallel mixed method design to compare three different teaching methodologies: a flipped classroom approach, an active/collaborative approach, and a conventional lecture/assignment approach. Garrison’s (2012) Community of Inquiry framework was used to assess the student learning experience afforded by each approach. The flipped classroom approach was rated significantly higher than the lecture/assignment approach in terms of the overall learning experience ( p &lt; .05, d = 0.39) and social presence ( p &lt; .05, d = 0.53). The active/collaborative approach was rated significantly higher than the lecture/assignment approach for the overall learning experience ( p &lt; .05, d = 0.54), overall attitudes and preferences ( p &lt; .05, d = 0.49), teaching presence ( p &lt; .05, d = 0.43), and social presence ( p &lt; .05, d = 0.71). There was no significant difference in student performance with regard to content knowledge among the three approaches.";1765205006;Dissertations & Theses;;MacDonald, William-Thomas F.;;;" Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.";; Dissertation/Thesis;; 2016; 978-1-339-44390-4;;; English; English;;;2016;ProQuest Dissertations and Theses;2016;;https://search.proquest.com/docview/1765205006?accountid=11774; 0275 Community college education , 0456 Pedagogy , 0710 Educational technology; 0275 Community college education , 0456 Pedagogy , 0710 Educational technology;; 0275 Community college education , 0456 Pedagogy , 0710 Educational technology;;; 0275 Community college education , 0456 Pedagogy , 0710 Educational technology; Community college education , Pedagogy , Educational technology; Education , Blended learning , Community college , Flipped classroom , Inverted teaching , Postsecondary education;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:Education+Database&amp;atitle=&amp;title=Exploring+the+Flipped+Classroom+in+a+Community+College+Setting&amp;issn=&amp;date=2016-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=MacDonald%2C+William-Thomas+F.&amp;isbn=978-1-339-44390-4&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,Social Science Premium Collection
