Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Neumann P., Kowitz C., Schranner F., Azarnykh D.","36728101400;54795345800;54783525000;57024131100;","Interdisciplinary teamwork in HPC education: Challenges, concepts, and outcomes",2017,"Journal of Parallel and Distributed Computing","105",,,"83","91",,5,"10.1016/j.jpdc.2016.12.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009771990&doi=10.1016%2fj.jpdc.2016.12.025&partnerID=40&md5=6592be641c95d500e7418a7946be6e36","We present our concept “Teamwork Across Disciplines” which enables interdisciplinary teamwork and soft skill training at course level. The concept is realized in the scope of the course “Turbulent Flow Simulation on HPC-Systems”. We describe the course curriculum and detail various additional aspects of the course with regard to student feedback, continuous course development techniques, and the student team projects. © 2017 Elsevier Inc.","Academic Press Inc.","J. Parallel Distrib. Comput.",Article,"Final",,Scopus,2-s2.0-85009771990
"Saleh M., Barghuthi N.A., Baker S.","57202835713;55932793200;57215273280;","Innovation in education via problem based learning from complexity to simplicity",2017,"Proceedings - 2017 International Conference on New Trends in Computing Sciences, ICTCS 2017","2018-January",,,"283","288",,2,"10.1109/ICTCS.2017.51","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050280516&doi=10.1109%2fICTCS.2017.51&partnerID=40&md5=28a1520acac674676ae9dc8c85606d77","We are living in era characterized by the rapid development of Technology and the fourth industrial revolution that will alter the way we live and learn. Computer Teaching Labs based on Virtualization and Augmented reality are becoming more important in education because they provide cost effective learning and experimenting environment for students and faculty that facilitates real work scenario experience necessarily needed for PBL. Problem-Based Learning (PBL) is conquering academia and increasingly attracting universities around the globe. PBL is one of the novel developments in University education that enhances millennial students' academic content learning and cognitive and communication skills. Since it was introduced it presented a significant change in educational approach that required considerable effort and commitment by lecturers and students, but offered major benefits in return to the students, universities and industry. While some universities are weighing on PBL other put it more succinctly, implementing PBL in their engineering courses. Considering its demand and benefits to the 21st century UNESCO established a Chair in Problem Based Learning, the overall objective of this UNESCO Chair is to create a global society for researchers and academic staff working with PBL in PBL projects; that require real practice and real issues; are mainly sourced from industry and reflect positively on the students as it will give them opportunity to interact and team work in lookalike job environment and scenarios. This research objective is to investigate its significance and demand. It examines the PBL effects on performance of engineering graduates as perceived by employers while providing an overview and high-level background on introduction of PBL for Engineering Students in particular and how it benefits the students in gaining work environment experiences while still studying in the university. © 2017 IEEE.","Institute of Electrical and Electronics Engineers Inc.","Proc. - Int. Conf. New Trends in Comput. Sci., ICTCS",Conference Paper,"Final",,Scopus,2-s2.0-85050280516
"Winarno S., Muthu K.S., Ling L.S.","57193855265;55418296100;56069803500;","Multimedia teaching and learning for computer networks subject in the direct problem-based learning approach: A pilot study",2017,"Proceedings - 2017 International Seminar on Application for Technology of Information and Communication: Empowering Technology for a Better Human Life, iSemantic 2017","2018-January",,,"48","51",,,"10.1109/ISEMANTIC.2017.8251842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046008357&doi=10.1109%2fISEMANTIC.2017.8251842&partnerID=40&md5=1c44f98cc92ffaa83b55c878adb5669d","This study investigates the impacts of multimedia teaching and learning for Computer Networks subject in the direct problem-based learning (m-DPBL) approach, especially impacts of the students' attitude, students' interest, students' creative thinking and students' teamwork skills. Third-year students (N=30) who took Computer Networks subject from Informatics Engineering department in Dian Nuswantoro University Indonesia and one Computer Networks lecturer in the sample class participated in this pilot study. The result of this pilot study shows that most of the students were agreed that the m-DPBL could be used as a medium of instruction in the classroom. © 2017 IEEE.","Institute of Electrical and Electronics Engineers Inc.","Proc. - Int. Semin. Appl. Technol. Inf. Commun.: Empower Technol. Better Hum. Life, iSemantic",Conference Paper,"Final",,Scopus,2-s2.0-85046008357
"Puente S.T., Úbeda A., Torres F.","7007015100;36142360900;26027659000;","e-Health: Biomedical instrumentation with Arduino",2017,"IFAC-PapersOnLine","50","1",,"9156","9161",,1,"10.1016/j.ifacol.2017.08.1724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031792221&doi=10.1016%2fj.ifacol.2017.08.1724&partnerID=40&md5=ba2e352dfd1437f2de6331a0080a6d45","This contribution describes the planning and the development of laboratory activities for an introduction to biomedical system instrumentation, as well as some experiences and results obtained from them. The activities have been applied in the course “Systems and Instruments Foundations” during the academic year 2016-17. This course is scheduled in the second year of the novel Health Information Technology Degree offered by the University of Alicante. Teaching biomedical instrumentation from the point of view of engineering to students that have little medical and engineering background is a complex task. Laboratory practices proposed are presented in this paper, which is based on Arduino and e-Health shield to teach biomedical concepts. A project-based learning methodology is used in the laboratory sessions, where students have to accomplish a project at the end of the semester. © 2017","Elsevier B.V.","IFAC-PapersOnLine",Article,"Final",Open Access,Scopus,2-s2.0-85031792221
"Fox B.I., Umphress D.A., Hollingsworth J.C.","7202735563;6602703291;55755026900;","Development and delivery of an interdisciplinary course in mobile health (mHealth)",2017,"Currents in Pharmacy Teaching and Learning","9","4",,"585","594",,1,"10.1016/j.cptl.2017.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020077827&doi=10.1016%2fj.cptl.2017.03.005&partnerID=40&md5=96755c66c6b90d170a701d90f304133e","Background Interdisciplinary practice is a primary focus within the United States health care system. Despite the existence of interdisciplinary educational efforts in pharmacy for many years, the practice only recently entered mainstream health care education. Informatics offers interdisciplinary educational opportunities. Mobile health (mHealth), an informatics sub-discipline, is the use of mobile devices for health and wellness activities. We used the mHealth domain as the context for an interdisciplinary learning experience for pharmacy and computer science and software engineering (CSSE) students. Educational activity Educational activities focused on creating an mHealth course sequence and an mHealth application (app). Students worked in teams to complete various assignments, including developing and presenting a course proposal, building a purchase plan for mHealth equipment, developing an mHealth app prototype, delivering a disease state presentation (pharmacy students only), developing use case scenarios (CSSE students only), and completing peer evaluations. Critical analysis of the educational activity Course evaluations were only available from pharmacy students. They indicated an overall favorable rating (mean 3.27–3.55; 4=strongly agree). Survey data collected after students entered the workforce indicated that students felt better prepared than their colleagues to work with individuals from other disciplines (mean 4.82; 5=strongly agree). Students also indicated using the knowledge from course proposal development in their careers (mean 4.27; 5=strongly agree). Through team interactions, students learned from each other while overcoming challenges related to terminology and content areas. Skills learned through team interactions reflect real-world processes and are expected to support students’ future professional responsibilities. © 2017 Elsevier Inc.","Elsevier Inc.","Currents Pharm. Teach. Learn.",Article,"Final",,Scopus,2-s2.0-85020077827
"Theobald E.J., Eddy S.L., Grunspan D.Z., Wiggins B.L., Crowe A.J.","55797481600;56200263900;56194055500;56193793800;7101871122;","Student perception of group dynamics predicts individual performance: Comfort and equity matter",2017,"PLoS ONE","12","7", e0181336,"","",,18,"10.1371/journal.pone.0181336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026248139&doi=10.1371%2fjournal.pone.0181336&partnerID=40&md5=48f54e780ce4d842793a003d65320d80","Active learning in college classes and participation in the workforce frequently hinge on small group work. However, group dynamics vary, ranging from equitable collaboration to dysfunctional groups dominated by one individual. To explore how group dynamics impact student learning, we asked students in a large-enrollment university biology class to self-report their experience during in-class group work. Specifically, we asked students whether there was a friend in their group, whether they were comfortable in their group, and whether someone dominated their group. Surveys were administered after students participated in two different types of intentionally constructed group activities: 1) a loosely-structured activity wherein students worked together for an entire class period (termed the ‘single-group’ activity), or 2) a highly-structured ‘jigsaw’ activity wherein students first independently mastered different subtopics, then formed new groups to peer-teach their respective subtopics. We measured content mastery by the change in score on identical pre-/post-tests. We then investigated whether activity type or student demographics predicted the likelihood of reporting working with a dominator, being comfortable in their group, or working with a friend. We found that students who more strongly agreed that they worked with a dominator were 17.8% less likely to answer an additional question correct on the 8-question post-test. Similarly, when students were comfortable in their group, content mastery increased by 27.5%. Working with a friend was the single biggest predictor of student comfort, although working with a friend did not impact performance. Finally, we found that students were 67% less likely to agree that someone dominated their group during the jigsaw activities than during the single group activities. We conclude that group activities that rely on positive interdependence, and include turn-taking and have explicit prompts for students to explain their reasoning, such as our jigsaw, can help reduce the negative impact of inequitable groups. © 2017 Theobald et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Public Library of Science","PLoS ONE",Article,"Final",Open Access,Scopus,2-s2.0-85026248139
"Wong K., Patzelt M., Poulette B., Hathaway R.","56225288400;57195284932;57195278082;57195283420;","Scenario-based learning in a MOOC specialization capstone on software product management",2017,"Proceedings - 2017 IEEE/ACM 39th International Conference on Software Engineering Companion, ICSE-C 2017",,, 7965343,"317","318",,,"10.1109/ICSE-C.2017.70","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026772148&doi=10.1109%2fICSE-C.2017.70&partnerID=40&md5=15e6c73d586bebaa6e94253bfed067bf","A Massive Open Online Course (MOOC) is a popular way for universities to deliver quality course content to a global audience. Furthermore, a MOOC specialization offers a series of related such courses with a capstone component. Typical software engineering capstone projects in campus courses involve teamwork and creating software. Within such a context, students experience the software development process and human dynamics. However, MOOC capstones need to work for individual learners, and scale to handle thousands of potential learners. Consequently, this paper outlines our approach in using scenario-based learning to simulate an environment of interacting with others for a learner playing the role of a software product manager. © 2017 IEEE.","Institute of Electrical and Electronics Engineers Inc.","Proc. - IEEE/ACM Int. Conf. Softw. Eng. Companion, ICSE-C",Conference Paper,"Final",,Scopus,2-s2.0-85026772148
"Bastarrica M.C., Perovich D., Samary M.M.","8871330500;25522382900;57195281135;","What can students get from a software engineering capstone course?",2017,"Proceedings - 2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering and Education Track, ICSE-SEET 2017",,, 7964338,"137","145",,18,"10.1109/ICSE-SEET.2017.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026743965&doi=10.1109%2fICSE-SEET.2017.15&partnerID=40&md5=ff9adad64dea92e587d5e27816ec6e17","For the last ten years we have been teaching a capstone course for fifth year students of the Computer Science Department of the Universidad de Chile. Five year ago we redesigned the course, shifting from projects following a waterfall process and focused on technical aspects, to one centered in soft skills following agile practices. Since then, we provide out students a concrete learning outcome: To internalize how relevant is having and developing critical soft skills to succeed in projects. Last year, we wondered whether our students were actually getting what we declared. We conducted a survey on students' initial and final perception about the relative value and difficulty of different dimensions involved in their projects: Technical challenge, teamwork, planning, and negotiation with the client. Also, we applied a one-tailed dependent pair sample t-test to determine the statistical significance of the surveys result. We found out that the relative value of soft skills grows while that of the technical challenge drops, and that the students find that planning and teamwork are harder than they expected. Also, we found statistically significant evidence that, for the soft skills we have measured, the perceived relative relevance actually changes throughout the course. © 2017 IEEE.","Institute of Electrical and Electronics Engineers Inc.","Proc. - IEEE/ACM Int. Conf. Softw. Eng.: Softw. Eng. Educ. Track, ICSE-SEET",Conference Paper,"Final",,Scopus,2-s2.0-85026743965
"Lucietto A.M., Scott A.S., Connor K.A., Berry F.C.","56764649600;57161844800;7006083534;7102398210;","Initial survey of engineering technology Capstone courses and teamwork building using CATME",2017,"ASEE Annual Conference and Exposition, Conference Proceedings","2017-June",,,"","",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030539410&partnerID=40&md5=7d3aa069c4d3179c36579458100d7fa7","This paper represents a first step in what is to become a multi-institutional initiative focused on identifying best practices for developing and improving teamwork skills within the Capstone experiences of engineering, technology and computing programs. Teamwork in this paper is defined and measured as the dimensions measured by the CATME Peer Review [1], which is currently used by thousands of technology and engineering instructors and institutions worldwide. The CATME Peer Review measurement tool is used to collect self and peer evaluations of team members' contributions on five different teamwork dimensions [2]. These teamwork dimensions are 1) pose the knowledge, skills, and abilities to help the team; 2) expect quality work from the team; 3) keep the team on schedule; 4) positive interactions between teammates to help the team; and 5) all team members contribute to the team's work and success. Pung and Farris[3] used CATME in a one semester junior level design class and reported a ""significant improvement"" in student behavior when compared to the old system of peer review. A workshop was developed to assemble all the participants, and develop a systematic method of evaluating teamwork building using CATME. All the participating schools and faculty will be testing changes in their Capstone courses and sharing the results of this analysis, in teamwork skills, with their colleagues. © American Society for Engineering Education, 2017.","American Society for Engineering Education","ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final",,Scopus,2-s2.0-85030539410
"Elmore B.B.","6604097984;","Integrating problem-based and project-based learning in large enrollment freshman engineering courses",2017,"ASEE Annual Conference and Exposition, Conference Proceedings","2017-June",,,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030544835&partnerID=40&md5=e632b46000715f7a03c6a19eadad436b","This paper reports on the integration of problem-based and project-based learning opportunities conducted for over a decade with large enrollment classes of chemical (and since the fall 2015 semester) petroleum engineering freshmen. A primary objective of the first-year experience in our School is to provide a solid foundation in basic engineering principles and applications associated with our degree programs through problem-based and project-based learning activities. The approach taken is a blending of directed problem-solving activities in a collaborative learning environment coupled with Team Challenges through which groups of four freshmen engineering students engage in actively constructing systems for solving practical engineering problems. This approach brings to students a vibrant, interactive approach to learning about chemical and petroleum engineering fundamentals at a time when individual anticipation (and anxiety) about studying engineering is perhaps at its highest. Offered in a two-day per week format, course activities are structured to engage students in problem-solving strategies one day per week with the hands-on Team Challenges the second day each week. Significant course content and mentoring is provided outside of class in a ""flippedclassroom"" style. By assembling and testing a variety of simple engineering systems, students learn about engineering applications of math and science principles. Examples of systems studied include the development of a centrifugal pump curve using a simple, inexpensive apparatus; investigating level-control for continuous flow into and out of a small tank using LEGO NXT™ controllers/sensors; evaluating performance of a double-pipe heat exchanger using Vernier™ meters and sensors; and assessing performance of a simple wind turbine as a function of changes in various parameters such as blade design, wind speed, etc. Individual students are provided an opportunity to quickly build relationships and skills for teamwork, leadership and collaboration along with gaining an understanding of designing experiments, collecting and analyzing data, and contextualizing the meaning of the work within a broader focus on the practice of engineering. Student enrollment in the two semester course sequence has grown significantly over the years since its inception in 2006 from an enrollment between 30-40 students each semester to a high of 173 in the fall 2015 semester. The evolution of the course and adaptations for large student enrollment is discussed. © American Society for Engineering Education, 2017.","American Society for Engineering Education","ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final",,Scopus,2-s2.0-85030544835
"Agrawal V., Jariwala A.S.","57195965145;36161184100;","Web-based tools for supporting student-driven Capstone Design Team formation",2017,"ASEE Annual Conference and Exposition, Conference Proceedings","2017-June",,,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030566107&partnerID=40&md5=41e2841f906872740844319f592cb27c","Team formation for Capstone Design projects is a complex challenge due to the many parameters involved, many of which are intangible. Of all the challenges in organizing a Capstone Design course, team formation is considered the primary one due to its importance in facilitating synergistic partnerships for successful completion of the Capstone project. The authors propose a process for facilitating team creation in an organic fashion amongst students by collecting and providing information about student interest on a per project basis as well as on each student's skills. This allows students to gauge the interest levels of potential teammates for projects they are interested in as well and choose teammates that have complementary skills, thus maximizing their potential for success. To measure the efficacy of this system, post-process data analytics was utilized to gauge the utility of the proposed method to help form student teams. Findings from these analyses are discussed along with opportunities for future improvements. © American Society for Engineering Education, 2017.","American Society for Engineering Education","ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final",,Scopus,2-s2.0-85030566107
"Vandegrift T., Liao S.","55663719300;57195961334;","Helping first-year engineering students select a major",2017,"ASEE Annual Conference and Exposition, Conference Proceedings","2017-June",,,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030555075&partnerID=40&md5=61ac37e0a3d11dae1ea918958cdfbee2","This evidence-based practice paper evaluates a set of resources to help first-year engineering students choose their major among four fields. Choosing a major can be a daunting task for firstyear college students, especially if the choices span fields with which students have little experience. In order to provide first-year engineering students time to discern, a set of resources and course activities were designed to assist students in this decision-making process. The educational theory that serves as a framework for this study is social cognitive career theory, developed by Lent, Brown, and Hackett in 1994. In particular, resources, activities, and experiences in the introduction to engineering course were designed to assist students with self-efficacy beliefs and personal goals. At this University all engineering and computer science students take an introduction to engineering course that covers the engineering process, teamwork, communication skills, the different branches of engineering, ethics, and co-curricular and extracurricular opportunities. Section sizes are ∼30 students, so students can build community with peers and their professor. The professor of the Introduction to Engineering course is the academic advisor for his/her set of students. Students declare or confirm their major by the end of the first semester. Resources to help students choose a major include laboratories, advisor meetings, student panels, a semesterlong team project, student chapters of professional society meetings, and on-line resources. In the fall 2012 offering of the course, we collected paper surveys from students, asking them to rate the effectiveness of a suite of resources in helping them choose their major. We asked about exposure to engineering and/or computer science prior to entering college and course materials and activities that were helpful for selecting a major. Based on the responses, we created a new set of videos and blogs featuring upper-class students who shared their journeys in how they chose their major and what they value about their major. We added new labs for the 2015 version. In fall 2015, we again asked students about the impact of all the course activities and their confidence in their major selection. The professor as advisor, laboratories and the course project have the most impact on helping students decide their major. More informational activities such as talking to other students, attending club meetings, and watching videos of other students had less impact. Based on these results, students seem to need personal, hands-on experience to determine if their self-efficacy beliefs and the values of the outcomes align with the intended major. 145 of 154 (94.2%) of students were somewhat or very confident about their major at the end of the semester. This paper describes a suite of resources and activities along with students' evaluation of those materials in terms of discernment of their major. By disseminating the information, other universities can adopt and adapt these activities to use in their programs. © American Society for Engineering Education, 2017.","American Society for Engineering Education","ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final",,Scopus,2-s2.0-85030555075
"Polk T.W., Smallwood M.G., Sluder J., Hart R., Pacheco J., Jr.","57195525653;57195959555;57195966903;57195529626;57195966220;","The impact of professional communications training on teamwork and leadership skills for engineering capstone teams",2017,"ASEE Annual Conference and Exposition, Conference Proceedings","2017-June",,,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030526540&partnerID=40&md5=4c7508ff9b763bab1ba1d4a9c71347e2","Experience has shown that one of the biggest challenges facing engineering capstone teams is team members learning to work together effectively. This is compounded when the team is comprised of students from multiple engineering disciplines. Our engineering capstone curriculum has always included training on team dynamics and team conflict that has been taught by the capstone engineering professors. Three years ago, we decided to bring in outside experts to lecture on topics such as project management, ethics and standards to augment the training for our capstone students. The following year we decided to extend this concept and turned to experts trained in the field of business communications to better train students in how to effectively operate as a team. This paper describes an ongoing pilot project to integrate professional training on team dynamics, team conflict and team leadership into our existing engineering capstone curriculum. Business Communications professors from the School of Management developed curriculum and presented to engineering students in the Biomedical and Mechanical Engineering departments. The initial single training session two years ago on all these topics has expanded into multiple training sessions - one on team charters and team dynamics, a second session on team conflict and resolution and a third on formal presentation training. A ""Team Health Checklist"" has been developed to quickly gather feedback from the team members on their impressions about how their team is functioning. The Team Health Checklist is completed by all students during the second training session, and the results are tabulated to provide an assessment of team progress. Finally, all of the project team leaders attend a fourth training session/roundtable on team leadership in small groups to discuss issues without the engineering professors present. The results and comments from the Team Health Checklist are discussed with the team leaders, and coaching is provided to help them improve as leaders. We will also discuss the results of the survey we have administered which has helped us determine the effectiveness of this professional training program. The survey focuses on each team member's impression of the change in attitudes, communications and abilities of the team before and after the training. Team leaders complete an additional section of the survey focused on their impressions of how and if the training has helped them perform better as the leader of the team. © American Society for Engineering Education, 2017.","American Society for Engineering Education","ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final",,Scopus,2-s2.0-85030526540
"Cloutier A., Yew G.Z., Gupta S., Dissanayake C.K., Monaco P.A., Mengel S.A., Morse A.N.","44860954900;55350560600;57195963967;56572407600;56300859300;7003430108;7102718502;","Modification and assessment of a residential summer program for high school women (evaluation)",2017,"ASEE Annual Conference and Exposition, Conference Proceedings","2017-June",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030547294&partnerID=40&md5=d25c7c22387cb5e750821b20f4376c8d","The importance of reducing the gender gap in engineering programs by recruiting and retaining female students is well recognized. Although women hold roughly half of all jobs in the United States, only 24% of STEM jobs are occupied by women. The problem is even more pronounced for engineering, where women held about 12% of jobs as of 20133. Consequently, interactive, hands-on outreach programs are a common tool used by universities to encourage interest in engineering from K-12 students. Engineering-Get Into Real Learning (E-GIRL) is a week-long, residential summer program offered by Texas Tech University for female high school students. The primary goal of the program is to help participants make informed decisions about engineering majors and careers. To this aim, the purposes of the program are: 1) to offer a platform for female high school students to learn about the various disciplines of engineering offered at Texas Tech University and other universities; 2) to provide a realistic university experience, including coursework, social, and professional development opportunities; and 3) to provide hands-on exposure to a real-world engineering problem. E-GIRL ran for the second time in the summer of 2016 based on the favorable support it received in 2015. Primary components of this year's program were a multidisciplinary group project focused on the theme of CO2 capture and storage as well as a series of two-hour classes taught by university faculty and graduate students in the following six engineering disciplines: chemical engineering, civil engineering, environmental engineering, industrial engineering, mechanical engineering, and computer science. This paper presents the multidisciplinary structure of the program and how it connects to the project that was assigned to program participants. The curriculum structure, the in-class activities, and the method of delivery for each discipline are explained in depth. The assessment of the program's second year, including comparisons to the results from the first year and modifications to the program based on feedback from previous program participants are discussed. The assessment instruments include engineering skills assessment questionnaires requiring students to self-evaluate their competence in eighteen skillsets before the program and after the program. These skillsets are qualities often identified to be important for engineers and encompass traits associated with problem solving, project management, teamwork, and communication skills. Key results show improved self-assessment for most of the engineering skills after the program. Additionally, the skills which did not show improved self-assessment ratings after the program were consistent throughout both years. Qualitative results show a more matured and complete understanding - after the program - of engineering and the individual engineering disciplines. Through oral presentations, participants demonstrated in-depth engagement with the environmental conservation theme of the project. The environmental conservation theme is consistent with the participants' aspirations for considering an engineering career and championing sustainability, which was highlighted by program participants in 2015 as a desired additional focus of the program. Overall, the program provided an opportunity for participants to experience the multidisciplinary nature of engineering, aided participants' understanding of the roles of the individual engineering disciplines, and furnished a realistic preview of student life in a university. © American Society for Engineering Education, 2017.","American Society for Engineering Education","ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final",,Scopus,2-s2.0-85030547294
"Awasthy R., Flint S., Sankaranarayana R.","42961047500;25927892300;6508272584;","Lifting the constraints - Closing the skills gap with authentic student projects",2017,"IEEE Global Engineering Education Conference, EDUCON",,, 7942964,"955","960",,,"10.1109/EDUCON.2017.7942964","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023601537&doi=10.1109%2fEDUCON.2017.7942964&partnerID=40&md5=65b234d6f82cb5443c91ccaceeb03a10","Preparing Software Engineering graduates with skills to satisfy the demands of industry has always been a challenge for universities. One way to overcome this challenge is to provide students with an authentic team project experience. Authentic student projects are those that are as close as possible to real projects in terms of uncertainty, complexity and diversity. In order to achieve this, collaboration with business and other external stakeholders is essential. However, such collaboration is often hindered by constraints around team structure, team and individual student assessment, the use of specific processes and technology, providing technical and other support, and fixed project durations. In this paper, we present a simple course structure and assessment process that has allowed us to remove the majority of such constraints, while maintaining integrity around student learning and assessment. By removing these constraints, we are providing students with authentic team project experiences that prepare them well for future employment. Preliminary evaluations of our approach indicate that despite several challenges, the experience has led to high levels of satisfaction among students and our external partners including employers. © 2017 IEEE.","IEEE Computer Society","IEEE Global Eng. Edu. Conf., EDUCON",Conference Paper,"Final",,Scopus,2-s2.0-85023601537
"Jovanov M., Ilijoski B., Stankov E., Armenski G.","55912299400;55321822400;55919213600;23481289900;","Creation of educational games - Project based learning in e-Learning systems course",2017,"IEEE Global Engineering Education Conference, EDUCON",,, 7943012,"1274","1281",,2,"10.1109/EDUCON.2017.7943012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023603400&doi=10.1109%2fEDUCON.2017.7943012&partnerID=40&md5=08b80e62ee4f24f0e908f59abb2252a1","In this paper we present a successful example of implementation of project-based learning in e-Learning Systems course. Starting with an overview of the organization of the 'e-Learning Systems' course held at the Faculty of Computer Science and Engineering (FCSE) in Skopje, we look into the importance of project-based learning as a learning method, the benefits of team work, and also we describe the purpose of educational games. The paper focuses on the general form of the project assigned to students which we describe in details, the organization of the lab exercises and the process of implementation of the projects. Based on the results that we will present, we may conclude that we have managed to organize the course in such a way that many of the students will achieve the course goals and pass, and also, will have exciting and challenging project to work on. We believe that the material in this paper will be valuable to other lecturers that teach similar or even quite different courses, and also facing the problem of teaching a course with high student/teacher ratio. © 2017 IEEE.","IEEE Computer Society","IEEE Global Eng. Edu. Conf., EDUCON",Conference Paper,"Final",,Scopus,2-s2.0-85023603400
"Dragoumanos S., Kakarountas A., Fourou T.","56342113600;8732123200;57194851124;","Young technology entrepreneurship enhancement based on an alternative approach of project-based learning",2017,"IEEE Global Engineering Education Conference, EDUCON",,, 7942872,"351","358",,,"10.1109/EDUCON.2017.7942872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023620137&doi=10.1109%2fEDUCON.2017.7942872&partnerID=40&md5=6e77d93a2075b2d3624c912ba3e237da","It has been noticed [1] that graduates, from a technology-oriented curriculum of studies, have developed the appropriate theoretical knowledge background and present the required hard skills. However, they lack of entrepreneurship skills and business minded orientation. Moreover, even if courses such as Management and Entrepreneurship are part of the curriculum, students view these subjects uninteresting due to a lack of practical component [1]. Young people need the opportunity to sharpen their skills so that they can quickly join the job market [2]. This paper describes an altered version of the Project Based Learning method (PBL), as a suggestion for developing entrepreneurship skill to students, based on their ideas and interests. The proposed method was used in two educational projects implemented by Applied Informatics in Business and Economy students. The assessment of hard and soft skills development was performed through written tests, interviews and 360 degrees feedback from the participants. The final results were very promising, depicting that 80% of the participants made it through the program successfully. Moreover, they felt confident enough for their knowledge and capable to start their own business. An interesting finding was that 40% of the students were already building a team to start developing their own product. They all believed that their entrepreneurial skills were developed. In addition to that, written tests showed that their hard skills have also been enhanced. Even though the economic environment of Greece is aggressive to entrepreneurship [3], a year after the projects were concluded, 20% of the participants were still trying to build their own business by developing their own product. It is the first time, to the best of the authors' knowledge, that technology and informatics are used as means to enhance entrepreneurship in Greece, starting from concept and ending to the actual promotion of an actual product (prototype). © 2017 IEEE.","IEEE Computer Society","IEEE Global Eng. Edu. Conf., EDUCON",Conference Paper,"Final",,Scopus,2-s2.0-85023620137
"Bogacka M., Pikon K.","56667751700;7801505275;","Work in progress: Combining active learning methods in engineering education",2017,"IEEE Global Engineering Education Conference, EDUCON",,, 7943105,"1863","1867",,2,"10.1109/EDUCON.2017.7943105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023613892&doi=10.1109%2fEDUCON.2017.7943105&partnerID=40&md5=a9e4e43ae9cdd13bc4aa5b0e2fc602d4","The new idea of approach to education associates different active learning methods in one holistic solution. This should be the complex approach combining different modern teaching techniques in order to provide the most effective pedagogical result. In innovative form the combination of challenge driven education with case teaching, project based learning and oxford style debate was proposed to be implemented in one specific course. In addition the shaping of different behavioral skills and competencies is added as well. Finally student would gain not only the expert knowledge but additionally behavioral skills, like teamwork capabilities, together with the business related knowledge and skills like art of presentation and giving elevator pitches. The heart of the proposal is case teaching method which is an established form of learning in many academic and professional learning programs. The case study method is considered to be the most effective method of teaching. It is proven that it develops practical skills and allows to look at the different situations, from cultural and economic perspective. In addition it shows different possibilities of solving problems based on real-life situations. However, the case teaching method is used mainly in law, medicine and business education. There are not many examples of its implementation in engineering courses. This is due to several problems related to specifics of technical sciences. Due to huge pedagogical benefits of case teaching method it seems to be the right tool in implementation challenge driver education model. Finally the product described in the manuscript could be the good example of holistic approach which is the future oif the education. © 2017 IEEE.","IEEE Computer Society","IEEE Global Eng. Edu. Conf., EDUCON",Conference Paper,"Final",,Scopus,2-s2.0-85023613892
