Title;Abstract;StoreId;AccessionNumber;AlternateTitle;ArticleType;AuthorAffiliation;Authors;coden;companies;contractNumber;copyright;digitalObjectIdentifier;documentType;elecISSN;elecPubDate;entryDate;isbn;issn;issue;language;languageOfSummary;originalTitle;pages;placeOfPublication;pubdate;pubtitle;publicationType;year;publisher;sourceAttrib;volume;DocumentURL;classification;classificationCodes;documentFeatures;majorClassificationCodes;notes;startPage;subjectClassifications;subjectHeadings;subjectTerms;subjects;FindACopy;Database
Robotics Focused Capstone Senior Design Course;"This work describes the educational experiences gained teaching the Senior Design I &amp; II courses, a senior level, two-semester sequence in the Electrical Engineering (EE) program at Georgia Southern University (GSU). In particular, the authors present their experiences in using robotics as the main area to develop the capstone senior design, with focus in interdisciplinary interactions and teamwork for the design and implementation of autonomous mobile robots. Other main purpose of the capstone design course sequence is for the students to experience working in an engineering application project researching and analyzing the sustainability, ethical and social impact issues related to their projects. The students work for two semesters as a team to design, test and build a mobile robot project for a particular application. Some of these projects have been fabricated to participate in different robotic competitions, including the IEEE sponsored hardware competition, the lawn mower competition, and the robot waiter competition.";1911759149;;;Scholarly Journals;;"Rios-Gutierrez, Fernando;Alba-Flores, Rocio";;;; Copyright The Clute Institute 2017; 10.19030/ajee.v8i1.9962; Journal Article;;; 2017;;2153-2516;1; English; English;; 23-34; Littleton;2017;American Journal of Engineering Education;;2017;;;8;https://search.proquest.com/docview/1911759149?accountid=11774;;;;;; 23;;; Robotics , Sustainability , Electrical engineering , Hardware , Competition , Automation , Education , Impact analysis , Robots , Manufacturing engineering , Ethics , Industrial robots , Students , Robotics , Colleges & universities; Capstone Design , Mobile Robots , Team Work , Robotic Competitions;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aengineeringjournals&amp;atitle=Robotics+Focused+Capstone+Senior+Design+Course&amp;title=American+Journal+of+Engineering+Education&amp;issn=21532516&amp;date=2017-01-01&amp;volume=8&amp;issue=1&amp;spage=23&amp;au=Rios-Gutierrez%2C+Fernando%3BAlba-Flores%2C+Rocio&amp;isbn=&amp;jtitle=American+Journal+of+Engineering+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.19030%2Fajee.v8i1.9962";ProQuest Central,SciTech Premium Collection
Flipped Classroom with Problem Based Activities: Exploring Self-regulated Learning in a Programming Language Course;This study intended to explore the development of self-regulation in a flipped classroom setting. Problem based learning activities were carried out in flipped classrooms to promote self-regulation. A total of 30 undergraduate students from Mechatronic department participated in the study. Self-regulation skills were discussed through students’ and the instructor’s experiences including their opinions and behaviours. Qualitative data was collected with an observation form, discussion messages and interviews with selected participants. As a result, in terms of self-regulated learning, the goal setting and planning, task strategies and help seeking skills of the students were high in the face to face learning designed with problem based activities through flipped classroom model, their goal setting and planning, task strategies and help seeking skills were appeared moderately. In the home sessions, environment structuring, goal setting and planning skills were developed in high level while task strategies, help seeking, time management, monitoring, self-efficacy and self-evaluation skills were moderate and monitoring skills was lower. Consequently, it is hoped that the study may provide some suggestions for using problem based activities in flipped learning.;1874036157;;;Scholarly Journals;;"Ünal Çakıroğlu;Öztürk, Mücahit";;;; © 2017. This work is published under https://creativecommons.org/licenses/by-nc-nd/3.0/ (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.;; Journal Article;;; 2017;;1176-3647;1; English; English;; 337-349; Palmerston North;2017;Journal of Educational Technology & Society;;2017;;;20;https://search.proquest.com/docview/1874036157?accountid=11774;;;;;; 337;;; Problem solving , Technology education , Qualitative analysis , Teaching methods , Problem based learning , Educational psychology , Monitoring , Time management , Classrooms , Learning , Programming languages , Skills , Students , Flipped classroom; Flipped classroom , Problem based learning , Self-regulated learning;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Flipped+Classroom+with+Problem+Based+Activities%3A+Exploring+Self-regulated+Learning+in+a+Programming+Language+Course&amp;title=Journal+of+Educational+Technology+%26+Society&amp;issn=11763647&amp;date=2017-01-01&amp;volume=20&amp;issue=1&amp;spage=337&amp;au=%C3%9Cnal+%C3%87ak%C4%B1ro%C4%9Flu%3B%C3%96zt%C3%BCrk%2C+M%C3%BCcahit&amp;isbn=&amp;jtitle=Journal+of+Educational+Technology+%26+Society&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Dragons, Ladybugs, and Softballs: Girls’ STEM Engagement with Human-Centered Robotics;Early experiences in science, technology, engineering, and math (STEM) are important for getting youth interested in STEM fields, particularly for girls. Here, we explore how an after-school robotics club can provide informal STEM experiences that inspire students to engage with STEM in the future. Human-centered robotics, with its emphasis on the social aspects of science and technology, may be especially important for bringing girls into the STEM pipeline. Using a problem-based approach, we designed two robotics challenges. We focus here on the more extended second challenge, in which participants were asked to imagine and build a telepresence robot that would allow others to explore their space from a distance. This research follows four girls as they engage with human-centered telepresence robotics design. We constructed case studies of these target participants to explore their different forms of engagement and phases of interest development—considering facets of behavioral, social, cognitive, and conceptual-to-consequential engagement as well as stages of interest ranging from triggered interest to well-developed individual interest. The results demonstrated that opportunities to personalize their robots and feedback from peers and facilitators were important motivators. We found both explicit and vicarious engagement and varied interest phases in our group of four focus participants. This first iteration of our project demonstrated that human-centered robotics is a promising approach to getting girls interested and engaged in STEM practices. As we design future iterations of our robotics club environment, we must consider how to harness multiple forms of leadership and engagement without marginalizing students with different working preferences.;2259576666;;;Scholarly Journals; Indiana University, Bloomington, IN, USA , Indiana University, Bloomington, IN, USA , Indiana University, Bloomington, IN, USA , Indiana University, Bloomington, IN, USA;"Gomoll, Andrea;Hmelo-Silver, Cindy E;Šabanović, Selma;Francisco, Matthew";;;; Journal of Science Education and Technology is a copyright of Springer, (2016). All Rights Reserved.; 10.1007/s10956-016-9647-z; Journal Article;; 2016-08-29; Dec 2016;;1059-0145;6; English; English;; 899-914; New York;Dec 2016;Journal of Science Education and Technology;;2016;;;25;https://search.proquest.com/docview/2259576666?accountid=11774;;;;; 2016-08-23 (Registration); 899;;; Robotics , Leadership , Technology , Social factors , Youth , Girls , STEM education , Robotics , Robots , Technical education , Cognitive ability , Telepresence systems , Students , Robotics , Social factors; Human-centered robotics , Telepresence robotics , Engagement , Interest development , Problem-based learning;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aengineeringjournals&amp;atitle=Dragons%2C+Ladybugs%2C+and+Softballs%3A+Girls%26rsquo%3B+STEM+Engagement+with+Human-Centered+Robotics&amp;title=Journal+of+Science+Education+and+Technology&amp;issn=10590145&amp;date=2016-12-01&amp;volume=25&amp;issue=6&amp;spage=899&amp;au=Gomoll%2C+Andrea%3BHmelo-Silver%2C+Cindy+E%3B%C5%A0abanovi%C4%87%2C+Selma%3BFrancisco%2C+Matthew&amp;isbn=&amp;jtitle=Journal+of+Science+Education+and+Technology&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs10956-016-9647-z";ProQuest Central,SciTech Premium Collection
A project-based learning approach to teaching physics for pre-service elementary school teacher education students;This paper describes the impact of the project-based learning (PBL) approach on learning and teaching physics from the perspective of pre-service elementary school teacher education students and an instructor. This approach promoted meaningful learning (mainly in the scope of projects), higher motivation, and active involvement of students in learning during the entire course. It improved students’ attitudes towards learning physics, reducing fear, and increasing their self-efficacy and enjoyment of learning. This approach developed essential learning and collaborative skills, and strengthened interpersonal and intercultural interactions among all. Implementing PBL raised several challenges: the tension between the quality of learning and the scope of the course content and the necessity to combine a variety of teaching methods to meet students’ learning needs. The paper describes advantages and difficulties from the perspectives of both students and the instructor.;2127123469;;;Scholarly Journals; Research Department, Kaye Academic College of Education, Beer-Sheva, Israel;Goldstein, Olzan;;;; © 2016 The Author(s). This open access article is distributed under a Creative Commons Attribution (CC-BY) 4.0 license. This work is licensed under the Creative Commons Attribution License http://creativecommons.org/licenses/by/4.0/ (the “License”).  Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.; 10.1080/2331186X.2016.1200833; Journal Article;;; Dec 2016;;;1; English; English;;; Abingdon;Dec 2016;Cogent Education;;2016;;;3;https://search.proquest.com/docview/2127123469?accountid=11774;;;;;;;;; Students , Physics , Teaching methods , Learning , Teacher education , Elementary school teachers; Classroom Practice , Education Studies , Educational Research;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=A+project-based+learning+approach+to+teaching+physics+for+pre-service+elementary+school+teacher+education+students&amp;title=Cogent+Education&amp;issn=&amp;date=2016-12-01&amp;volume=3&amp;issue=1&amp;spage=&amp;au=Goldstein%2C+Olzan&amp;isbn=&amp;jtitle=Cogent+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1080%2F2331186X.2016.1200833";ProQuest Central,Social Science Premium Collection
Improving students' critical thinking skills through Remap NHT in biology classroom;Previous studies in Malang, Indonesia showed that there were the failure biology learning caused by not only the low students' prior knowledge, but also biology learning model has not improved the students' critical thinking skills yet, which affected the low of cognitive learning outcomes. The learning model is required to improve students' critical thinking skills. Learning model that considered able to solve this problem is a model that combines reading, constructing concept maps, and the implementation cooperative learning type Numbered Heads Together (Remap NHT) in the classroom. This study was quasi experimental research that compared the effect of Remap NHT learning model and traditional learning in biology classroom to improve critical thinking skills at Xth grade students of senior school in Malang, Indonesia. The results showed that the implementation of Remap NHT during biology classroom showed the effect on students' critical thinking skills.;1955993262;;;Scholarly Journals; Biology Department, Faculty of Mathematic and Natural Science, Universitas Negeri Malang, INDONESIA , Biology Department, Faculty of Mathematic and Natural Science, Universitas Negeri Malang, INDONESIA , Department of Biology, Faculty of Mathematic and Natural Science, Universitas Negeri Makassar, INDONESIA , Biology Department, Faculty of Mathematic and Natural Science, Universitas Negeri Malang, INDONESIA;"Mahanal, Susriyati;Zubaidah, Siti;Bahri, Arsad;Dinnurriya, Maratusy Syahadatud";;;; Copyright The Education University of Hong Kong, Department of Science and Environmental Studies Dec 2016;; Journal Article;;; Dec 2016;;;2; English; English;; 1-19; Hong Kong;Dec 2016;Asia - Pacific Forum on Science Learning and Teaching;;2016;;;17;https://search.proquest.com/docview/1955993262?accountid=11774;;;;;; 1;;; Teaching , Cooperative learning , Students , Classrooms , Collaboration , Problems , Science , Concept mapping , Studies , Knowledge , Biology , 21st century , Metacognition , Humanities , Critical thinking , Cognitive ability , Problem based learning , Education , Reading , Independent study , Cognition & reasoning , Skills , Indonesia;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Improving+students%27+critical+thinking+skills+through+Remap+NHT+in+biology+classroom&amp;title=Asia+-+Pacific+Forum+on+Science+Learning+and+Teaching&amp;issn=&amp;date=2016-12-01&amp;volume=17&amp;issue=2&amp;spage=1&amp;au=Mahanal%2C+Susriyati%3BZubaidah%2C+Siti%3BBahri%2C+Arsad%3BDinnurriya%2C+Maratusy+Syahadatud&amp;isbn=&amp;jtitle=Asia+-+Pacific+Forum+on+Science+Learning+and+Teaching&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,Social Science Premium Collection
Analyzing the Social Knowledge Construction and Online Searching Behavior of High School Learners During a Collaborative Problem Solving Learning Activity: a Multi-Dimensional Behavioral Pattern Analysis;  The present study aims to explore the behavioral patterns of the social knowledge construction process and the online searching behaviors in a collaborative problem solving learning activity for high school students, and further compares the different behavioral patterns of the high- and low-performing teams. A total of 78 high school students from two schools participated. This study applied sequential analysis to analyze the students' social knowledge construction and online searching behavior from a large amount of screen-recording data. Interestingly, the results indicate that social interaction that is irrelevant to the discussion task is significantly correlated with academic-related discussion content. Reaching a higher cognitive level of social knowledge construction (e.g., reaching agreement or applying newly constructed meaning) contributes to a successful team project. For online searching behavior, the high-performing teams exhibited systematic online searching behavior and concentrated on the task, while the low-performing teams displayed chaotic searching behavior and were distracted from the task at hand, and seemed to rarely propose their searched results or ideas in their discussions. Based on the results, several possible explanations and suggestions are proposed including the need to promote more adaptive motivation and to provide scaffolding for collaborative skills.;1838506219;;;Scholarly Journals;;"Lin, Che-li;Hou, Huei-tse;Tsai, Chin-chung";;;; De La Salle University 2016; 10.1007/s40299-016-0317-y; Journal Article;;; Dec 2016;;0119-5646;5-6; English; English;; 893-906; Manila;Dec 2016;The Asia - Pacific Education Researcher;;2016;;;25;https://search.proquest.com/docview/1838506219?accountid=11774;;; References;;; 893;;; Collaborative learning , Secondary school students , Online instruction , Searches , Search strategies; Keywords , Sequential analysis , Collaborative synchronous discussion , Social knowledge construction , Online searching behavior;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Analyzing+the+Social+Knowledge+Construction+and+Online+Searching+Behavior+of+High+School+Learners+During+a+Collaborative+Problem+Solving+Learning+Activity%3A+a+Multi-Dimensional+Behavioral+Pattern+Analysis&amp;title=The+Asia+-+Pacific+Education+Researcher&amp;issn=01195646&amp;date=2016-12-01&amp;volume=25&amp;issue=5-6&amp;spage=893&amp;au=Lin%2C+Che-li%3BHou%2C+Huei-tse%3BTsai%2C+Chin-chung&amp;isbn=&amp;jtitle=The+Asia+-+Pacific+Education+Researcher&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1007%2Fs40299-016-0317-y";ProQuest Central,Social Science Premium Collection
BUILDING A COMMUNITY GARDEN: A COLLABORATIVE CROSS-DISCIPLINARY ACADEMIC COMMUNITY ENGAGEMENT PROJECT;"  Most research concerning service learning discusses the benefits students experience when working on a project; however, for faculty, the challenges involved in facilitating the project are also great. We designed a collaborative cross-disciplinary project to address two goals: 1) to increase student engagement through service learning, while also 2) redistributing the work involved in managing the project from the instructor to a second group of upper-level operations management students. Specifically, we used the Academic Community Engagement (ACE) pedagogy, which combines community engagement with academic instruction, in a collaborative project between a freshman-level environmental science class and an upper-level operations management class. The project goal for the students was to research and establish a formal plan for the creation of a community garden in the local town. The community garden project goal was achieved over the course of the semester and survey results suggest that we accomplished both of the cross-disciplinary project goals. Specifically, many of the students developed a deeper sense of connection to the local community and a more tangible idea of how they can serve their communities in the future.";1864516866;;;Scholarly Journals;;"Wozniak, Jeffrey R;Bellah, Jeremy;Riley, Jason M";;;; Copyright Gibson D. Lewis Center for Business and Economic Development Fall 2016;; Feature;;; Fall 2016;;0887-2058;2; English; English;; 95-115; Huntsville;Fall 2016;Journal of Business Strategies;;2016;;;33;https://search.proquest.com/docview/1864516866?accountid=11774;;; References , Tables;;; 95;;; Collaboration , Students , Research , Teaching , Engineering , Operations management , Discipline , Pharmacy , Environmental science , Production planning , Project management , Service learning , Funding , Pedagogy , Experiential learning , Interdisciplinary aspects , Problem based learning;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=BUILDING+A+COMMUNITY+GARDEN%3A+A+COLLABORATIVE+CROSS-DISCIPLINARY+ACADEMIC+COMMUNITY+ENGAGEMENT+PROJECT&amp;title=Journal+of+Business+Strategies&amp;issn=08872058&amp;date=2016-10-01&amp;volume=33&amp;issue=2&amp;spage=95&amp;au=Wozniak%2C+Jeffrey+R%3BBellah%2C+Jeremy%3BRiley%2C+Jason+M&amp;isbn=&amp;jtitle=Journal+of+Business+Strategies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central
Open data framework for sustainable assessment of project-based learning experiences;Purpose In a project-based learning experience, the detailed monitoring of the activities in which team members participate can be useful to evaluate their work. However, the project activity produces a large amount of data that can be hardly assessed by a single project supervisor. This poses a scalability issue if the number of users or projects size increases. In this vein, the purpose of this paper is to make the assessment of online learning experiences more sustainable. Design/methodology/approach This paper describes a learning-oriented collaborative assessment method, supported by an open data framework. Also, an architecture for the extraction of different indicators to facilitate the assessment process is presented. Findings The assessment method and the open data framework were applied to a project-based course on web engineering. This experience has provided positive evidences because the grade measurement was backed up with assessment evidences and calculated with less effort. Research limitations/implications At the moment, results indicate that apparently there are no significant evidences against the sustainable evaluation practices for students' summative evaluation. Nevertheless, when more data become available, a more statistically significant analysis could be made to determine the influence of the assessment practices in the final result of the evaluated skills. Originality/value In contrast to various existing proposals for e-assessment, the strategy focuses on assessing learning experiences in software development projects. Also, the approach is based on the reuse of information from external process supporting tools by integrating a number of metrics in a non-intrusive way.;1844295245;;;Scholarly Journals;;"Traverso-Ribón, Ignacio;Balderas-Alberico, Antonio;Dodero, Juan-Manuel;Ruiz-Rube, Ivan;Palomo-Duarte, Manuel";;;; © Emerald Group Publishing Limited 2016; 10.1108/PROG-12-2015-0078; Journal Article;;; 2016;;0033-0337;4; English;;; 380-398; Bradford;2016;Program;;2016;;;50;https://search.proquest.com/docview/1844295245?accountid=11774;;;;;; 380;;; Software , Distance learning , Students , Self evaluation , Collaboration , Feedback , Supervisors , Workloads , Linked Data , Open data , Data models , Learning management systems , Quality , Distance learning , Software development , Spain;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Open+data+framework+for+sustainable+assessment+of+project-based+learning+experiences&amp;title=Program&amp;issn=00330337&amp;date=2016-10-01&amp;volume=50&amp;issue=4&amp;spage=380&amp;au=Traverso-Rib%C3%B3n%2C+Ignacio%3BBalderas-Alberico%2C+Antonio%3BDodero%2C+Juan-Manuel%3BRuiz-Rube%2C+Ivan%3BPalomo-Duarte%2C+Manuel&amp;isbn=&amp;jtitle=Program&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1108%2FPROG-12-2015-0078";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Collaborative information seeking in student group projects;Purpose The purpose of this paper is to gain a better understanding of the collaborative information seeking (CIS) behaviors of students conducting authentic group work projects, and the features of a collaborative search system that are most useful to these students. Design/methodology/approach An exploratory study was conducted with 41 participants in ten groups working on an in class, for-credit group project assignment utilizing a collaborative search system. Quantitative and qualitative data were gathered on the everyday search practices of students over the course of the group project, along with quality scores for the sources found. Findings Results showed that student behavior during their CIS related to the quality of their search outcomes, as the effective and efficient searchers found better quality sources. Students’ pre-task attitudes and experiences toward group work also relate to the quality of their search outcomes. Student feedback demonstrated the importance of making collaborative search tools convenient, lightweight, and easy to use. Practical implications These findings may be useful to researchers designing and studying the effectiveness of collaborative search tools, and to instructors planning to incorporate group projects into their classes. Originality/value In this paper, the authors document the authentic behaviors and attitudes of students conducting group projects in an classroom setting, and offer specific recommendations for developers of collaborative search systems. These findings provide greater context for CIS research into the collaborative search behaviors of students conducting group work projects.;1841764348;;;Scholarly Journals; Rutgers University, New Brunswick, New Jersey, USA , Rutgers University, New Brunswick, New Jersey, USA;"Leeder, Chris;Shah, Chirag";;;; © Emerald Group Publishing Limited 2016; 10.1108/AJIM-12-2015-0190; Journal Article;;; 2016;;2050-3806;5; English; English;; 526-544; Bradford;2016;Aslib Journal of Information Management;;2016;;;68;https://search.proquest.com/docview/1841764348?accountid=11774;;;;;; 526;;; Qualitative analysis , Group dynamics , Attitudes , Information management , Searching , Students , Information seeking behavior , Group dynamics , Collaboration , Teachers;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aabiglobal&amp;atitle=Collaborative+information+seeking+in+student+group+projects&amp;title=Aslib+Journal+of+Information+Management&amp;issn=20503806&amp;date=2016-09-01&amp;volume=68&amp;issue=5&amp;spage=526&amp;au=Leeder%2C+Chris%3BShah%2C+Chirag&amp;isbn=&amp;jtitle=Aslib+Journal+of+Information+Management&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1108%2FAJIM-12-2015-0190";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Video-based learning ecosystem to support active learning: application to an introductory computer science course;"The systematic use of technologies in order to orchestrate learning has become widely used in the past years. Diverse technologies have been applied in a variety of teaching practices; for instance learning tools which allow you to flip the classroom or monitor other active learning practices. However, the developed systems are only a subset of different kinds of learning materials and learning tools that an educator should take into consideration; and most importantly they do not offer an overview of the different learning dynamics. The development of a learning ecosystem framework, which will allow us to describe “the complex of living organisms” as well as their interrelationships, will help us to better understand and further develop our teaching approaches. In this paper, we present a video-based learning ecosystem framework and the first captured results of its application in an introductory computer science course. The framework incorporates basic e-learning tools and traditional learning practices, making it accessible to anyone wanting to implement a video-assisted project-based experience in his/her course. Its application is based on open and easy-to-use tools, allowing for the incorporation of any additional functionalities. This work aims to provide insights for other scholars and practitioners to further validate, examine, and extend the proposed framework. This approach can be used for those interested in incorporating project-based or flipped classroom approaches in their teaching, since it is a flexible procedure that may be adapted to meet their needs.";1987927363;;;Scholarly Journals; Department of Computer and Information Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway , Department of Computer and Information Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway , Department of Computer and Information Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway;"Giannakos, Michail N;Krogstie, John;Aalberg, Trond";;;; Smart Learning Environments is a copyright of Springer, (2016). All Rights Reserved.; 10.1186/s40561-016-0036-0; Journal Article;;; Jul 2016;;;1; English; English;; 1-13; Heidelberg;Jul 2016;Smart Learning Environments;;2016;;;3;https://search.proquest.com/docview/1987927363?accountid=11774;;;;;; 1;;; Active learning , Computer science , Classrooms , Ecosystems , Distance learning , Tools; Learning ecosystem , Active learning , Project-based learning , Learning environments , Learning dynamics , Video-based learning;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Video-based+learning+ecosystem+to+support+active+learning%3A+application+to+an+introductory+computer+science+course&amp;title=Smart+Learning+Environments&amp;issn=&amp;date=2016-07-01&amp;volume=3&amp;issue=1&amp;spage=1&amp;au=Giannakos%2C+Michail+N%3BKrogstie%2C+John%3BAalberg%2C+Trond&amp;isbn=&amp;jtitle=Smart+Learning+Environments&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.1186%2Fs40561-016-0036-0";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Empowering Students to Create Better Virtual Reality Applications: A Longitudinal Study of a VR Capstone Course;In this paper we present our experiences of teaching an annually organized virtual reality (VR) capstone course. We review three iterations of the course, during which a total of 45 students completed the course and 16 VR applications were implemented. Our comparative analysis describes the students' evaluation of the course, the applications created by them, and their development experiences. The results suggest that our gradual improvements on the course and the utilized software paid off, as the latest of the compared course iterations produced the best feedback and the highest quality VR applications. Our learning assessment analysis reveals that our course is effective in teaching VR application development and having students meet their personal learning goals. We also bring forward our RUIS toolkit that was used in the course with success, and present evidence on how better software toolkits can affect the development experience and allow students to create more impressive applications. Finally we share the lessons learned during five years of teaching the course, introducing several practical considerations for VR course organizers regarding pedagogics, software, and hardware.;1862786298;;;Scholarly Journals;;"Takala, Tuukka M;Malmi, Lauri;Pugliese, Roberto;Takala, Tapio";;;; Copyright Institute of Mathematics and Informatics 2016; 10.15388/infedu.2016.15; Journal Article;;; 2016;;1648-5831;2; English; English;; 287-317; Vilnius;2016;Informatics in Education;;2016;;;15;https://search.proquest.com/docview/1862786298?accountid=11774;;;;;; 287;;; Software , Students , Virtual reality , Education , Toolkits , Virtual reality , Students , Correlation analysis;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Empowering+Students+to+Create+Better+Virtual+Reality+Applications%3A+A+Longitudinal+Study+of+a+VR+Capstone+Course&amp;title=Informatics+in+Education&amp;issn=16485831&amp;date=2016-07-01&amp;volume=15&amp;issue=2&amp;spage=287&amp;au=Takala%2C+Tuukka+M%3BMalmi%2C+Lauri%3BPugliese%2C+Roberto%3BTakala%2C+Tapio&amp;isbn=&amp;jtitle=Informatics+in+Education&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/10.15388%2Finfedu.2016.15";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
Design of a Problem-Based Online Learning Environment and Evaluation of its Effectiveness;"&lt;/span&gt;&lt;/b&gt; &lt;/p&gt; &lt;p class=""MsoNormal"" style=""text-align: justify; line-height: 100%; text-autospace: none; margin-left: 0cm; margin-right: -.05pt; margin-top: 0; margin-bottom: 0""&gt; &lt;span lang=""EN-US"" style=""font-size: 10.0pt; font-family: 'Times New Roman',serif; color: black""&gt;Problem-based learning approach present several advantages such as improving students' engagement in learning and fostering their higher-order thinking skills. Although there is a plethora of research regarding implementation of problem-based learning in classrooms, its design and application process for web-based environments need further investigation because of independent nature of online settings. This study developed a problem-based online learning environment based on constructivist learning design model proposed by Jonassen (1999) and evaluated its effectiveness. It was conducted in the spring 2014 semester with an intention to access to total population that is 1,417 students receiving distance education for Turkish II course at six university vocational schools. The online lesson was implemented in one week, and data were gathered through students' performance tasks and self-evaluation form. The research indicated that the problem-based online learning environment has a positive influence on learning. Moreover, it was revealed that dynamic nature of online environment affected learner's participation in the designed activities and collaboration among students could not be fostered. Several suggestions were proposed based on the results.&lt;/span&gt; &lt;/p&gt; &lt;/body&gt; &lt;/html&gt;";1833764618;;;Scholarly Journals;;"Abdullah Yasin GÜNDÜZ;ALEMDAG, Ecenaz;YASAR, Sevil;ERDEM, Mukaddes";;" Hacettepe University
611310";; Copyright Sakarya University 2016;; Journal Article;;; 2016;;;3; English;;;; Adapazari;2016;TOJET : The Turkish Online Journal of Educational Technology;;2016;;;15;https://search.proquest.com/docview/1833764618?accountid=11774;;;;;; n/a;;; Turkish language , Problems , Collaboration , Problem based learning , Cooperative learning , College students , Educational technology , Self evaluation , Distance learning , Learning environment , Distance learning , Distance learning , Students;;"http://sfx.nelliportaali.fi/nelli09b?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeducation&amp;atitle=Design+of+a+Problem-Based+Online+Learning+Environment+and+Evaluation+of+its+Effectiveness&amp;title=TOJET+%3A+The+Turkish+Online+Journal+of+Educational+Technology&amp;issn=&amp;date=2016-07-01&amp;volume=15&amp;issue=3&amp;spage=&amp;au=Abdullah+Yasin+G%C3%9CND%C3%9CZ%3BALEMDAG%2C+Ecenaz%3BYASAR%2C+Sevil%3BERDEM%2C+Mukaddes&amp;isbn=&amp;jtitle=TOJET+%3A+The+Turkish+Online+Journal+of+Educational+Technology&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/";ProQuest Central,SciTech Premium Collection,Social Science Premium Collection
