"Document Title";Authors;"Author Affiliations";"Publication Title";Date Added To Xplore;"Publication Year";"Volume";"Issue";"Start Page";"End Page";"Abstract";"ISSN";ISBNs;"DOI";Funding Information;PDF Link;"Author Keywords";"IEEE Terms";"INSPEC Controlled Terms";"INSPEC Non-Controlled Terms";"Mesh_Terms";Article Citation Count;"Reference Count";"License";"Online Date";Issue Date;"Meeting Date";"Publisher";Document Identifier
"Dual-Track Agile in Software Engineering Education";"C. Péraire";"Carnegie Mellon University; USA";"2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)";"";"2019";"";"";"38";"49";"The fields of Software Engineering and Human-Computer Interaction have traditionally evolved in parallel; with little cross-pollination; both in industry and academia. However; effectively delivering software products offering superior user experiences requires a tight collaboration between professionals from both fields. In recent years; some approaches combining the two perspectives have been proposed in industry; including dual-track agile software development. Yet; very few courses cover those integrated approaches in academia; and it appears that no publication so far has reported the existence of a scholarly course covering dual-track agile. This paper introduces a course that addresses the divide between Software Engineering and Human-Computer Interaction through an integrated approach to requirements engineering and interaction design; in the context of dual-track agile. The course design combines traditional and flipped-classroom delivery; together with project-based learning. During the course project; students learn to design and implement software systems that address real problems and satisfy real stakeholders' needs by being useful; usable; and enjoyable to use. This paper documents the author's experience designing and teaching the course over the past four years. It aims to convince; inspire; and enable others to teach similar courses; bringing interaction design to the forefront of agile software development.";"";"978-1-7281-1000-4";"10.1109/ICSE-SEET.2019.00013";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8802105";"dual track agile;continuous product discovery and delivery;user centered design;design thinking;requirements engineering;course design;software engineering education";"";"computer aided instruction;computer science education;educational courses;human computer interaction;software prototyping;teaching;user experience";"software products;dual-track agile software development;scholarly course;requirements engineering;interaction design;course design;course project;software systems;software engineering education;human-computer interaction;user experiences;flipped-classroom delivery;project-based learning;teaching";"";"";"52";"";"";"";"";"IEEE";"IEEE Conferences"
"Fair and Individualized Project Teamwork Evaluation for an Engineering Course";"T. Robal";"Tallinn University of Technology; Department of Computer Systems; Tallinn; Estonia";"2018 28th EAEEIE Annual Conference (EAEEIE)";"";"2018";"";"";"1";"9";"Teamwork skills are critical to obtain for every engineering student. Numerous research has outlined this necessity and studied teamwork from various aspects. Yet; from the point of grading; teamwork is one of the task forms that is difficult to evaluate; especially in comparison to individual evaluation. Several criteria may affect the evaluation; and also how the final result is perceived by students - fair or unfair towards them. In this paper a method that was applied to evaluate and advance group teamwork for a systems engineering course in a European university is discussed. The method allows to individualize teamwork results by team members; advantaging of team feedback and self-evaluation. This paper introduces the method; and looks into how applying this method affected the final results of teamwork projects.";"2472-7687";"978-1-5386-7711-7";"10.1109/EAEEIE.2018.8534256";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8534256";"course teamwork;evaluation;student project";"Teamwork;Task analysis;Tools;Europe;Education;Correlation";"computer aided instruction;computer science education;educational courses;engineering education;team working";"individualized project teamwork evaluation;teamwork skills;engineering student;group teamwork;systems engineering course;teamwork results;teamwork projects";"";"1";"17";"";"";"";"";"IEEE";"IEEE Conferences"
"Design considerations for introducing PBL in computer engineering";"M. Coto; S. Mora; M. Lykke";"Escuela de Informática; Universidad Nacional; Heredia; Costa Rica; Escuela de Informática; Universidad Nacional; Heredia; Costa Rica; Escuela de Informática; Universidad de Aalborg; Dinamarca";"2012 XXXVIII Conferencia Latinoamericana En Informatica (CLEI)";"";"2012";"";"";"1";"10";"Nowadays; universities are driven to adopt pedagogical approaches that enable them to better meet the needs of the new generation of students and industry. This article presents an ongoing experience in innovating the computer engineering curriculum through a problem-based and project-oriented learning approach to develop skills such as problem solving; effective communication; teamwork and lifelong learning; which are increasingly demanded by employers and society. The investigation determined an initial set of design principles that can be used to guide an implementation strategy of the approach. The methodology allows continuous evaluation and refinement of the design. The findings so far point to a number of obstacles; from student; teachers and management; which must be overcome to achieve an effective result.";"";"978-1-4673-0793-2";"10.1109/CLEI.2012.6427136";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6427136";"curriculum innovation;pedagogical approaches;computer engineering;PBL";"Educational institutions;Computers;Silicon compounds;Abstracts;Industries;Problem-solving;Teamwork";"computer aided instruction;computer science education;educational courses";"PBL;pedagogical approach;computer engineering curriculum;problem-based learning;project-oriented learning;problem solving;teamwork;lifelong learning;employer;society";"";"3";"29";"";"";"";"";"IEEE";"IEEE Conferences"
"Virtual collaborative space to support active learning";"G. J. Alanis-Funes; L. Neri; J. Noguez";"Engineering and Architecture Graduate School. Tecnológico de Monterrey; Campus Ciudad de México; Physics and Mathematics Department; Engineering and Architecture School; Tecnológico de Monterrey; Campus Ciudad de México; Researcher-Professor; Computer Science Department; Engineering and Architecture School; Tecnológico de Monterrey; Campus Ciudad de México";"2011 Frontiers in Education Conference (FIE)";"";"2011";"";"";"F3C-1";"F3C-6";"Active learning is an educational strategy that promotes the development of the students' critical and creative thinking through carefully designed activities. Collaborative learning techniques such as Problem-Based Learning (PBL) and Project-Oriented Learning (POL) are useful tools to achieve effective active learning. However; teachers often face important challenges promoting; monitoring and ensuring a well-balanced collaboration so both - workload and learning are significant and also as equitable as possible among team members. With the advent of new social software; virtual collaborative environments have become an important part of our lives. Nevertheless file sharing and e-mail communication alone do not necessarily promote learning. It is necessary to combine the learning methodologies with the appropriate software tools to create a virtual collaborative space that promotes active learning. The paper reviews related work on active learning; problem based learning (PBL); project oriented learning (POL); social software tools; and collaborative virtual environments. Hence; a virtual collaborative space that integrates distributed web interactivity tools with learning methodologies is the focus of this paper. A virtual collaborative space using the collaborative elements in Blackboard 9.1 applied to PBL and POL is also presented.";"2377-634X";"978-1-61284-469-5";"10.1109/FIE.2011.6143078";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143078";"active learning;collaborative learning;problem based learning;project oriented learning;virtual collaborative space";"Collaborative tools;Internet;Information services;Electronic publishing;Collaborative work;Monitoring";"computer aided instruction;groupware;Internet;social networking (online);software tools;virtual reality";"virtual collaborative environment;active learning;educational strategy;students critical thinking;students creative thinking;collaborative learning techniques;problem-based learning;project-oriented learning;file sharing;e-mail communication;social software tool;distributed Web interactivity tool;Blackboard 9.1";"";"3";"16";"";"";"";"";"IEEE";"IEEE Conferences"
"Combining STEM and business entrepreneurship for sustaining STEM-readiness";"P. Nair; J. Huang; J. Jackson; A. Cox-Petersen";"Computer Engineering Program; California State University; Fullerton; United States of America; Department of Electrical Engineering; California State University; Fullerton; United States of America; Center for Entrepreneurship; California State University; Fullerton; United States of America; Department of Elementary and Bilingual Education; California State University; Fullerton; United States of America";"2017 IEEE Integrated STEM Education Conference (ISEC)";"";"2017";"";"";"76";"78";"Sustaining interest in STEM subjects throughout the academic career is often the key to a successful STEM career. Maintaining a “STEM-interested” student body can potentially have significant long-term implications for the success of the future STEM workforce. In many cases; students who initially like STEM subjects begin to lose interest in STEM subjects during middle school years. This work-in-progress paper explores the findings of the second year of STEM-Inc; an afterschool program in junior high schools that combines team-based; real-world engineering and computer science projects with business entrepreneurship concepts. One of the important goals of the program is to sustain student interest in STEM subjects and make them aware of STEM careers. Participants are supervised by college student mentors in partnership with school teachers. Traditionally underrepresented students form a significant component of STEM-Inc. While interest in STEM activities; teamwork and entrepreneurial confidence for students were positively influenced in year 2; no significant improvements were observed in STEM skills and interest in STEM fields. STEM-Inc also had considerable positive influences on college student mentors and school teachers. Two mentors reported that they are considering a career in STEM education after their involvement in STEM-Inc. School teachers reported being confident in the inclusion of engineering examples and the design process in their math and science courses.";"";"978-1-5090-5379-7";"10.1109/ISECon.2017.7910252";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7910252";"Entrepreneurship;Junior High Schools;Project-based Learning;STEM";"Engineering profession;Entrepreneurship;STEM;Computer science;Sociology";"commerce;computer science education;engineering education;innovation management;risk management;STEM;team working";"STEM subjects;business entrepreneurship;STEM-readiness sustainability;middle school years;STEM-Inc;team-based projects;real-world engineering projects;computer science projects;student interest;STEM careers;college student mentors;school teachers;STEM education";"";"1";"13";"";"";"";"";"IEEE";"IEEE Conferences"
"An exploration of knowledge and skills transfer from a formal software engineering curriculum to a capstone practicum project";"R. Bareiss; E. Katz";"Carnegie Mellon Silicon Valley; Carnegie Mellon Silicon Valley";"2011 24th IEEE-CS Conference on Software Engineering Education and Training (CSEE&T)";"";"2011";"";"";"71";"80";"Students at Carnegie Mellon Silicon Valley complete a team-based practicum project for an industrial sponsor as the capstone of their master's education in software engineering. Over time; the faculty member who typically serves as advisor for such projects has been disturbed by the failure of several student teams to transfer some relevant knowledge and skills from the formal curriculum to the relatively unstructured practicum project environment. We conducted a survey of all 2010 software engineering students to ascertain the most significant self-reported shortcomings. This paper presents the survey data and then discusses the results in terms of a theory of transfer; as part of this discussion recent and possible future changes to instruction are identified.";"2377-570X";"978-1-4577-0348-5";"10.1109/CSEET.2011.5876159";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5876159";"";"Software engineering;Context;Programming;Proposals;Measurement;Silicon;Knowledge engineering";"computer science education;knowledge management;project management;software engineering;team working";"knowledge exploration;skills transfer;formal software engineering curriculum;Capstone practicum project;Carnegie Mellon Silicon Valley;team-based practicum project;industrial sponsor;software engineering education;software engineering student";"";"7";"9";"";"";"";"";"IEEE";"IEEE Conferences"
"Hackathon as a Project Based Teaching Tool : Employing Programming Challenge in the Class";"B. Kumalakov; A. Kim; S. Mukhtarova; A. Shukurova; N. Khon";"Dept. of Artificial Intelligence and Big Data; al-Farabi Kazakh National University; Almaty; Kazakhstan; Dept. of General and Applied Psychology; al-Farabi Kazakh National University; Almaty; Kazakhstan; School of engineering management; Almaty Management University; Almaty; Kazakhstan; School of engineering management; Almaty Management University; Almaty; Kazakhstan; Department of Psychology; Turan University; Almaty; Kazakhstan";"2018 IEEE 12th International Conference on Application of Information and Communication Technologies (AICT)";"";"2018";"";"";"1";"5";"Project Based Learning (PBL) develops student knowledge and skills through solving authentic; engaging and complex challenge in a fixed time span. Academic literature reports its application over a wide variety of disciplines; having both immediate and long-lasting positive effect on team working; project management; and creativity when applying technical skills. We aim to enhance student learning in software engineering. 80% of student respondents up to the date feel that programming assignments that last longer than a week overlap with other subjects enough to draw dedication away. While it unquestionably develops transferable skills; such as time management; it also might not necessarily be good through introductory courses; where students face completely new material. As a result; our aim is to employ “hackathon” - a gathering; where programmers collaboratively code in an extreme manner over 12 to 24 hours - as a teaching tool. While there is a precedent of hackathon being used at University level; it was employed to substitute classic approach via excluding lecturing and lab work completely. Current paper presents research design and relevant discussion on measuring and validating learning outcomes when blending hackathon into traditional programming class as one of the components; not a substitute to other types of classes.";"2472-8586";"978-1-5386-6468-1";"10.1109/ICAICT.2018.8747149";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8747149";"Project Based Learning (PBL);Hackathon";"Programming;Education;Interviews;Tools;Psychology;Atmospheric measurements;Particle measurements";"computer aided instruction;computer science education;educational courses;software engineering;teaching;team working";"software engineering;Hackathon;project based teaching tool;class programming challenge;student learning;project management;team working;academic literature;student knowledge;PBL;traditional programming class;substitute classic approach;teaching tool;programming assignments";"";"";"23";"";"";"";"";"IEEE";"IEEE Conferences"
"Team Composition in Software Engineering Project Courses";"D. Dzvonyar; L. Alperowitz; D. Henze; B. Bruegge";"Dept. of Appl. Software Eng.; Tech. Univ. of Munich; Munich; Germany; Dept. of Appl. Software Eng.; Tech. Univ. of Munich; Munich; Germany; Dept. of Appl. Software Eng.; Tech. Univ. of Munich; Munich; Germany; Dept. of Appl. Software Eng.; Tech. Univ. of Munich; Munich; Germany";"2018 IEEE/ACM International Workshop on Software Engineering Education for Millennials (SEEM)";"";"2018";"";"";"16";"23";"Composing well-balanced; effective development teams for software engineering project courses is important for facilitating learning; fostering student motivation as well as obtaining a successful project outcome. However; team composition is a challenging task for instructors because they have to consider a variety of possibly conflicting criteria such as practical constraints; skill distribution; or project motivation. In this paper; we describe our process for composing development teams based on a pre-defined set of criteria that we have established from our experience conducting project courses since 2008 and constantly refined since. We reflect on these criteria by analyzing the team synergy and project satisfaction of participating students as well as their perspective on challenges in their teams in one concrete instance of a multi-project capstone course. Our findings show that lack of motivation; problems with interpersonal relationships and communication issues affect the less satisfied teams more than the others.";"";"978-1-4503-5750-0";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8442124";"Software Engineering;Project Course;Team Composition;Teamwork;Applied Education;Experiential Learning;Agile Methods";"Software engineering;Industries;Software;Education;Teamwork;Task analysis";"computer science education;software engineering";"multiproject capstone course;team composition;software engineering project courses;student motivation;successful project outcome;project motivation;project satisfaction";"";"";"44";"";"";"";"";"IEEE";"IEEE Conferences"
"It's Not What You Think: Lessons Learned Developing an Online Software Engineering Program";"K. A. Gary; S. Sohoni; T. Lindquist";"Sch. of Comput.; Arizona State Univ.; Mesa; AZ; USA; Polytech. Sch.; Arizona State Univ.; Mesa; AZ; USA; Sch. of Comput.; Arizona State Univ.; Mesa; AZ; USA";"2017 IEEE 30th Conference on Software Engineering Education and Training (CSEE&T)";"";"2017";"";"";"236";"240";"Online education comes in various flavors - skills centered short-duration training; massively open online courses (MOOCs); and more recently; the offering of full online degree programs. In the past 4 years at Arizona State University; the faculty created an online software engineering degree program equivalent to an existing on-campus program; and produced its first graduates in Spring 2017. The challenges in creating this program were significant; but surprisingly the main challenges were not the ones that the faculty anticipated at the outset of the program's development. This paper shares the lessons learned from the development of the online degree program; with an emphasis on the gap between faculty expectations and fears versus the actual issues that needed to be addressed.";"2377-570X";"978-1-5386-2536-1";"10.1109/CSEET.2017.45";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8166709";"online education;project-based learning";"Software engineering;Tools;Training;Instruments;Best practices;Media";"computer aided instruction;computer science education;distance learning;software engineering";"Arizona State University;online software engineering degree program equivalent;short-duration training;massively open online courses";"";"";"18";"";"";"";"";"IEEE";"IEEE Conferences"
"Understanding the design of software development teams for academic scenarios";"L. Silvestre; S. F. Ochoa; M. Marques";"University of Chile; Santiago; Chile; University of Chile; Santiago; Chile; University of Chile; Santiago; Chile";"2015 34th International Conference of the Chilean Computer Science Society (SCCC)";"";"2015";"";"";"1";"6";"The software engineering community recognizes that human factors of developers directly influence the behavior and performance of software teams. Typically; cohesive teams tend to develop software in a more coordinated and effective way; resulting in suitable products. Although these cohesive teams could be designed to try reaching such benefits; there is no recipe that allows us to do it in a simple way. Therefore; most of the software teams are formed using any other criteria; by losing thus the potential benefits of using cohesive teams. The problem of designing these teams is not only present in the software industry; but also in the academia; particularly in capstone courses; where the students run software projects in real or simulated scenarios. In order to help find a solution to this problem; particularly for academic settings; this paper proposes a heuristic to form software development teams; considering the psycho-social profile of the students. This heuristic was used to design teams for a software engineering project course at the University of Chile; and these teams' performance was compared to those from teams designed using random allocation of student to teams. The results indicate that teams designed using the heuristic were more effective in terms of internal communication and coordination than the other teams. Moreover; the former obtained products with a quality higher than the latter.";"";"978-1-4673-9817-6";"10.1109/SCCC.2015.7416570";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7416570";"Software Engineering Education;Software Team Design;Software Development;Teamwork";"Software;Software engineering;Teamwork;Psychology;Proposals;Computer science;Human factors";"computer science education;DP industry;educational courses;educational institutions;human factors;software engineering";"software development design;software engineering community;human factor;software industry;capstone course;psycho-social profile;software engineering project course;University of Chile";"";"2";"36";"";"";"";"";"IEEE";"IEEE Conferences"
"The Impact of Incorporating Hands-on Raspberry Pi Projects with Undergraduate Education in Boosting Students’ Interest in Scientific/Engineering Majors and Encouraging Women and Minorities to Advance their Integration in Practical Fields";"H. A. Hallak; S. Ibrahim; C. Low; A. El Mesalami";"Old Doinion University;Comuter Science Department;Norfolk;US; Old Doinion University;Comuter Science Department;Norfolk;US; Old Doinion University;Center of Learning and Teaching;Norfolk;US; Old Doinion University;Comuter Science Department;Norfolk;US";"2019 IEEE Learning With MOOCS (LWMOOCS)";"";"2019";"";"";"7";"14";"By design; the computer science curriculum for undergraduate students in the United States does not include enough hands-on courses such as microcontrollers and embedded systems. It is difficult for students; especially the Distance Learners (DL) to appreciate the power of computer science as a problem-solving field without real-world experiments. Furthermore; students in computer science may drop-out or turn away from the field because it does not offer an opportunity for them to communicate with each other during online/traditional labs. In this paper; an active learning project-based approach in online/traditional computer science courses is introduced to make the courses' material more attractive to students from minorities. Students obtain a deeper knowledge through active exploration of real-world problems. Students will enjoy the challenges they face when developing solutions. This paper studies the impact of hands-on project-based learning using Raspberry Pi on students taking online and face-to-face computer science courses at Old Dominion University.";"";"978-1-7281-2549-7";"10.1109/LWMOOCS47620.2019.8939622";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939622";"Raspberry Pi;Minorities in Computer Science";"";"computer aided instruction;computer science education;distance learning;educational courses;educational institutions;further education;gender issues;social aspects of automation";"undergraduate education;minorities;computer science curriculum;undergraduate students;United States;hands-on courses;embedded systems;problem-solving field;active learning project-based approach;hands-on project-based learning;face-to-face computer science courses;distance learners;hands-on Raspberry Pi projects;scientific majors;engineering majors;women;Old Dominion University";"";"";"22";"";"";"";"";"IEEE";"IEEE Conferences"
"Blended learning to promote the transfer of skills";"W. Berrada Fathi; S. Chraibi";"Department of Computer Science; FSSM; Cadi Ayyad University; Marrakech; Morocco; Department of Computer Science; FSSM; Cadi Ayyad University; Marrakech; Morocco";"2014 International Conference on Multimedia Computing and Systems (ICMCS)";"";"2014";"";"";"700";"705";"We have experienced; in the “Corporate knowledge” module; a new form of hybrid learning. This is based on having pedagogical scenarios as problem-based learning approach. These scenarios are innovative in their use of technology and teaching methods. This measure aims to encourage skills building for the benefit of students. The observing of the behavior of learners and the collection of their assessments have identified; not only the strengths; to confirm the importance of teaching practices underlying the use of technology tools; but also the weaknesses; in order to readjust the experienced scenarios. The ultimate goal is to capitalize on this know-how; in the form of reusable scenarios in the context of this module.";"";"978-1-4799-3824-7";"10.1109/ICMCS.2014.6911217";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6911217";"E-learning;Blended learning;Collaborative work;Building skills;Problem-based learning;Techno-pedagogical teaching methods;Reuse techno-pedagogical scenarios";"Education;Terminology;Production;Context;Collaborative work;Organizations";"computer aided instruction;teaching";"teaching methods;problem-based learning;hybrid learning;corporate knowledge module;transfer of skills;blended learning";"";"";"13";"";"";"";"";"IEEE";"IEEE Conferences"
"A team-approach to putting learner-centered principles to practice in a large course on Human-Computer Interaction";"R. Motschnig; M. Sedlmair; S. Schröder; T. Möller";"Faculty of Computer Science; University of Vienna; Austria; Faculty of Computer Science; University of Vienna; Austria; Faculty of Computer Science; University of Vienna; Austria; Faculty of Computer Science; University of Vienna; Austria";"2016 IEEE Frontiers in Education Conference (FIE)";"";"2016";"";"";"1";"9";"We present a case study on how a team of instructors put learner-centered principles into practice in a large undergraduate course on Human-Computer Interaction (HCI) that was run in 4 parallel groups of about 50 students. The course stands on the crossroads between software engineering; business; and research in so far as student-teams apply human-centered design techniques to develop mobile apps; test them with real end-users; read research papers and regularly reflect upon their experience. As a proof of the course-concept; selected results from formative and summative assessments are presented. The summative results show that students rated the course as one of the best of the 87 computer science courses run in the summer term of 2015 at the University of Vienna. The primary goal of this paper is to provide instructors intrigued by learner-centered approaches with ideas for their own practice. In particular; this paper is of interest to those who teach Human-Computer Interaction and to those who seek inspiration on mapping their course to the 14 learner-centered principles.";"";"978-1-5090-1790-4";"10.1109/FIE.2016.7757576";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7757576";"Learner-centered principles;project-based learning;human-computer interaction;formative and summative assessment;student-centered learning";"Human computer interaction;Education;Computer science;Psychology;Computers;Mobile communication;History";"computer science education;educational courses;educational institutions;further education;human computer interaction;software engineering";"team approach;learner-centered principle;undergraduate course;human-computer interaction;HCI;software engineering;computer science course;University of Vienna";"";"6";"30";"";"";"";"";"IEEE";"IEEE Conferences"
"Internet of Things: A Project Based Engineering Course";"K. N.; P. K.; H. R.";"Department of Computer Science and EngineeringBMS Engineering CollegeBangalore; India; Department of Computer Science and EngineeringBMS Engineering CollegeBangalore; India; Department of Computer Science and EngineeringBMS Engineering CollegeBangalore; India";"2017 5th IEEE International Conference on MOOCs; Innovation and Technology in Education (MITE)";"";"2017";"";"";"83";"88";"Project based learning with its emphasis on both conceptual and practical aspect is getting a lot of attention; recently; within the engineering academic circles. Project based learning leads to better participation from students because of the self study activities involved. It fosters communication; lateral thinking; team work; project management; cost analysis and problem solving skills of the students. At BMS College of Engineering; the recent paradigm shift in learning has led to more courses being offered with project based approach. 'Internet of Things' is still in its nascent stages and BMS with a flair for adopting the latest trends in technology in their curriculum; wanted to include it as part of their undergraduate program. This paper analyzes advantages and challenges in offering this course in the undergraduate level. The analyses include the steps taken; feedback; outcome and other assessment carried out as part of this activity.";"";"978-1-5386-3189-8";"10.1109/MITE.2017.00021";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8596696";"MOOC;Self Study;Internet of Things;Project based Learning;Engineering Education";"Internet of Things;Hardware;Computer science;Robots;Software;Protocols;Cloud computing";"computer aided instruction;educational courses;engineering education;further education;Internet of Things;teaching;team working";"Internet of Things;conceptual aspect;practical aspect;engineering academic circles;self study activities;lateral thinking;team work;project management;cost analysis;project based approach;engineering course;paradigm shift;BMS college of engineering;undergraduate program";"";"";"34";"";"";"";"";"IEEE";"IEEE Conferences"
"Industry-led mechatronics degree development in regional Australia";"M. Y. Ibrahim; G. Kahandawa; T. A. Choudhury; A. M. Mazid";"School of Engineering and Information Technology; Federation University Australia; Churchill; Vic. 3842; Australia; School of Engineering and Information Technology; Federation University Australia; Churchill; Vic. 3842; Australia; School of Engineering and Information Technology; Federation University Australia; Churchill; Vic. 3842; Australia; School of Engineering and Information Technology; Federation University Australia; Churchill; Vic. 3842; Australia";"2017 IEEE International Conference on Mechatronics (ICM)";"";"2017";"";"";"419";"424";"This paper presents a technique that was used in the recent development of a new Mechatronics degree in Australia. This technique addressed the local industry needs and the available resources for a well-balanced Mechatronics degree program. The degree development was based on project-based learning and industry engagement. The development of the new Mechatronics degree was made possible via a State Government grant of AU$2.4 Million which was matched by industry contribution of AU$10 Million in cash and in-kind. Since industry was a major stake holder in this degree; a specific industry survey was conducted to check the desired graduates attributes; from industry point of view. The results of this survey is also included in this papers. In addition; the program also addressed the regional industry's challenge of retaining qualified engineers via a clear pathway program for students knowledge and skills development. This paper presents industry's anticipated outputs of the academic Mechatronics program. In addition the paper also discusses the mechanisms adopted for the development of this new degree. The developed fully integrated Mechatronics program was founded on the realisation that if a person undertook a mechanical degree followed by an electronics degree followed by a computer science degree; that person is; still; NOT a Mechatronics engineer.";"";"978-1-5090-4538-9";"10.1109/ICMECH.2017.7921143";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7921143";"Mechatronics Education;Industry-based Training;Articulated Learning;Project-based Learning";"Industries;Mechatronics;Knowledge engineering;Training;Australia;Government";"computer science education;electronic engineering education;mechanical engineering;mechatronics";"industry-led Mechatronics degree development;regional Australia;well-balanced Mechatronics degree program;project-based learning;industry engagement;State Government grant;industry survey;graduate attributes;student knowledge;skills development;fully integrated Mechatronics program;mechanical degree;electronics degree;computer science degree";"";"";"14";"";"";"";"";"IEEE";"IEEE Conferences"
"Motivation of Computer Science Students at Universities Organized around Small Groups";"D. López-Fernández; E. Tovar; L. Raya; F. Marzal; J. J. Garcia";"Engineering Department; U-tad: Centro Universitario de Tecnología y Arte Digital; Madrid; Spain; Languages; Informatics Systems and Software Engineering Department; Technical University of Madrid (UPM); Madrid; Spain; Engineering Department; U-tad: Centro Universitario de Tecnología y Arte Digital; Madrid; Spain; Engineering Department; U-tad: Centro Universitario de Tecnología y Arte Digital; Madrid; Spain; Engineering Department; U-tad: Centro Universitario de Tecnología y Arte Digital; Madrid; Spain";"2019 IEEE Global Engineering Education Conference (EDUCON)";"";"2019";"";"";"1128";"1135";"The academic performance of students is affected by the academic context; their aptitudes and their motivation. The latter is particularly important in Engineering disciplines because the contents to be learnt are especially complex and many students end up having a low performance that leads them to absenteeism and drop out. The European Higher Education Area (EHEA) provides several recommendations related to the academic context (ongoing assessment; mentoring processes and active learning methods among others) that seem to have a positive impact on the students’ motivation. However; these cannot always be implemented due to the high number of students per class existing at many Universities. This contribution presents an empirical case study performed with 149 Computer Science students of a University organized around small groups and innovative educational methodologies. The benefits and outcomes of this academic conditions; as well as their impact in the students’ motivation; are analyzed and discussed.";"2165-9567";"978-1-5386-9506-7";"10.1109/EDUCON.2019.8725059";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8725059";"Motivation;Engineering;Computer Science;Software Engineering;Active learning;Project Based Learning";"Computer science;Software engineering;Engineering students;Learning systems;Instruments;Reliability";"";"";"";"1";"20";"";"";"";"";"IEEE";"IEEE Conferences"
"ICT + PBL = holistic learning solution: UTeM's experience";"F. Shahbodin; M. Yusoff; C. K. N. C. K. Mohd";"Interactive Media Department; Faculty of Information and Communication; Technology; Universiti Teknikal Malaysia Melaka (UTeM); Hang Tuah Jaya; 76100; Durian Tunggal; Melaka; Malaysia; Centre for Languages and Human Development; Universiti Teknikal Malaysia Melaka (UTeM); Hang Tuah Jaya; 76100; Durian Tunggal; Melaka; Malaysia; Faculty of Information and Communication; Technology; Universiti Teknikal Malaysia Melaka (UTeM); Hang Tuah Jaya; 76100; Durian Tunggal; Melaka; Malaysia";"2011 Sixth International Conference on Digital Information Management";"";"2011";"";"";"322";"326";"This paper highlights how ICT could be integrated in the process of teaching and learning in the Problem Based Learning (PBL) environment. The main focus is integrating the ICT components such as multimedia and internet technologies as a tool for PBL learning environment; and utilizing the PBL approach for the delivering instructions in the teaching and learning process at UTeM. This paper also shares findings on the effectiveness of PBLAssess which have been developed in this study. Fifty-six respondents (second year students) enrolled for the Human Computer Interaction course are selected for this study. Two research instruments are developed for the purpose of evaluating students' performances and preferences which include a set of questionnaire and prototype known as PBLAssess. Further some of the current work on integrating ICT and PBL learning environment are also shared. Understanding both the current state of art for PBL and future prospects are the key issues in setting an agenda for future research and development in PBL.";"";"978-1-4577-1539-6";"10.1109/ICDIM.2011.6093355";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6093355";"PBL;ICT;Learning Process;Multimedia;Internet";"Education;Problem-solving;Collaboration;Internet;Multimedia communication;Prototypes;User interfaces";"human computer interaction;Internet;learning (artificial intelligence);multimedia computing;question answering (information retrieval);teaching";"ICT;holistic learning solution;teaching process;learning process;problem based learning;multimedia technology;Internet technology;PBL learning environment;UTeM;human computer interaction;research instrument;questionnaire set";"";"";"12";"";"";"";"";"IEEE";"IEEE Conferences"
